gene,name,human_log2FC,human_padj,rhesus_log2FC,rhesus_padj,rat_log2FC,rat_padj,mouse_log2FC,mouse_padj,divergence,TFBM,H3K4_length,TATA,CGI,DM_unst,DM_pIC4,DM_pIC2,DM_pIC8,cytokines_and_chemokines,cytokines_receptors,transcription_factors,kinases_and_phosphatases,dNdS_29M,gain_loss_rate_pval,age_PTHR7_wagner,cellular_PPIs,viral_PPIs,viral_immunomodulators_PPI
ENSG00000056558,TRAF1,4.1347122452347,2.12e-46,4.64943136222952,1.02e-31,3.0516246511088,1.48e-18,4.95436216285324,2.65e-15,0.115752932673943,301,1897,0,400,NA,0.404931494779848,NA,-0.04803897491634,0,0,0,0,0.1,0.861,8,109,11,0
ENSG00000130589,HELZ2,3.57348090120359,9.25e-46,2.13122241659494,2.51e-06,6.38497578137798,1.04e-58,3.66256958645667,7.51e-22,1.95839905479151,445,2224,0,NA,NA,0.909912346735659,NA,0.155100379730855,0,0,0,0,NA,0.594,11,560,0,0
ENSG00000125347,IRF1,4.69125419226363,5.69e-42,3.67194441531986,2.17e-14,4.90359835198913,6.03e-38,5.08852438364878,3.95e-40,-0.070802398716674,676,4355,0,400,NA,0.314162828022186,0.61161671002565,0.119215030875352,0,0,1,0,0.13,0.021,9,34,6,0
ENSG00000178860,MSC,2.88854019237055,2.28e-40,2.64944512109224,1.81e-11,0.100172290872815,1,3.41296818197127,0.000600781642618,1.33050278684604,557,4120,0,64,NA,0.927782933050647,NA,0.147728194520306,0,0,1,0,NA,0.007,8,4,0,0
ENSG00000163660,CCNL1,2.51656113322309,8.73e-37,2.2277323810859,2.17e-24,1.71007046892203,0.058847702219266,2.49611037590797,6.83e-21,-1.39549048768234,856,7497,0,400,0.026708432482507,0.388955120641454,0.805112473130001,0.101972715281585,0,0,0,0,0.06,0.388,14,85,0,0
ENSG00000134070,IRAK2,3.0606598259999,2.39e-35,2.8955161407722,1.61e-10,2.88538484045876,9.66e-26,-0.414162736809274,0.617366604953415,1.75177003079369,424,2593,0,199,NA,0.249206053265468,NA,0.163156301276385,0,0,0,0,0.3,0.863,8,76,1,0
ENSG00000221978,CCNL2,2.02065576765409,3.44e-35,1.58580487744984,6.39e-17,0.365698843325101,0.222910915211333,2.16127523395556,3.43e-15,0.135072949124339,643,4370,0,400,0.324394948944063,0.213198791232044,0.795405810260092,-0.089687653929277,0,0,0,0,NA,0.388,NA,64,1,0
ENSG00000108691,CCL2,7.08221075738179,4.57e-32,10.4326713857324,2.09e-141,4.57768364651879,7.78e-15,5.49223710128418,8.94e-98,2.82567684855171,282,1843,0,NA,NA,1.06129105196776,NA,1.53278029731808,1,0,0,1,NA,0,4,17,2,0
ENSG00000185507,IRF7,3.18926251112337,6.44e-32,5.29236585713111,1.32e-08,3.84134865512911,5.41e-17,3.44508173286297,0.000150492190925,0.406892317442655,669,2567,0,169,NA,0.34090350242819,1.07942901279599,0.124783001492705,0,0,1,0,0.28,0.021,9,26,4,0
ENSG00000128342,LIF,5.69314831071294,1.79e-31,4.94216544469701,2.93e-11,2.58670315858888,9.71e-31,3.98583368225041,1.54e-11,1.55960133256779,642,2448,0,NA,NA,NA,NA,0.718485228497828,1,0,0,0,0.24,0.47,8,3,0,0
ENSG00000100739,BDKRB1,3.81708411838317,4.85e-29,2.78927368393922,5.14e-06,3.3069373534136,3.57e-06,3.39836876014996,1.02e-11,-1.31439726868684,227,1684,0,NA,NA,1.29981352319649,NA,0.481090949118647,0,0,0,0,0.24,0,7,1,0,0
ENSG00000115008,IL1A,6.88869578661495,9.76e-28,7.50383631152547,7.11e-13,6.44986935332044,3.83e-11,2.12001570206879,0.003065779953034,2.58454926985165,NA,NA,0,NA,NA,NA,NA,0.730097569843816,1,0,0,0,0.51,0.933,5,6,1,0
ENSG00000169245,CXCL10,11.4695513089044,5.28e-27,11.5955271744695,2.8e-38,10.126368194314,1.43e-57,10.6443666588237,3.97e-21,0.32718009478558,NA,NA,0,NA,NA,1.12460921986224,2.12366801184248,0.921455424951992,1,0,0,0,0.42,0.763,6,2,1,0
ENSG00000171223,JUNB,2.70468919232028,6.79e-27,3.8375665152709,5.51e-44,2.55808382275589,7.49e-06,2.46224146624301,4.84e-11,-0.102899938364184,1229,5670,11.3611,400,NA,0.935559256769496,1.18545542333343,0.439829103793434,0,0,1,0,0.04,0,9,216,3,0
ENSG00000090339,ICAM1,7.22433486316263,7.21e-27,4.65125183342425,6.67e-41,4.41470842968885,1.19e-06,6.13945727443041,1.81e-41,1.04218904229389,744,4458,0,400,NA,0.468491168489793,NA,0.557327273566331,0,0,0,0,0.36,0,3,10,3,0
ENSG00000167615,LENG8,2.14851964439992,1.54e-25,1.20306156137885,2.51e-05,0.918656726332826,0.000323150571962,1.06250100019241,2.46e-05,-0.359306018481216,923,5233,0,NA,NA,0.130918335147361,0.031518803324236,-0.081212957258717,0,0,0,0,NA,0.602,14,11,1,1
ENSG00000185338,SOCS1,4.1885437617244,6.58e-24,1.01496344684911,0.003252086982889,2.04125686489866,2.81e-20,4.27382358244889,2.6e-10,1.4043528965847,774,4030,0,400,NA,NA,NA,0.086900562580804,0,0,0,0,0.06,0,9,61,2,0
ENSG00000023445,BIRC3,5.73748270310739,6.98e-24,5.32251333911217,1.24e-16,2.85843299361968,0.00280355582805,2.17792543463318,3.57e-20,2.22244551145907,397,2821,0,146,NA,1.16933097643915,0.569021391191061,0.396672686693134,0,0,0,0,0.19,0.008,11,87,1,0
ENSG00000125538,IL1B,6.38763259184537,2.87e-23,6.42745812248724,0.000147518942012,4.03412501204967,0.322954977676096,0,1,3.15039470830955,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,0,0.43,0.795,9,10,1,0
ENSG00000163874,ZC3H12A,4.38874215663899,3.34e-23,3.76727590406844,7.07e-39,2.92370988296129,9.07e-20,2.67318787478062,8.8e-06,0.559341222348212,1332,7599,0,369,NA,NA,NA,0.004162476550177,0,0,0,0,0.13,0.463,12,0,0,0
ENSG00000198888,MT-ND1,1.40601383597946,4.03e-23,1.65661853887072,4.26e-08,-0.005257935649128,1,0.626916815532705,0.284979425823242,0.47324824046477,NA,NA,0,NA,0.08434138688157,0.332721266476503,0.782407340885164,-0.30565310571724,0,0,0,0,NA,0.27,7,22,0,0
ENSG00000156218,ADAMTSL3,2.07543906662078,1.36e-22,-0.736415737391847,0.440541929243543,-0.363917003705872,0.796734981954599,-0.418764610819848,0.832652831664446,1.13230231644372,217,894,0,400,-0.825114775786669,0.230915035066847,0.033042081644986,-0.013301202017568,0,0,0,0,NA,0,10,2,0,0
ENSG00000013441,CLK1,1.7172727463867,2.46e-22,2.31082156404873,2.29e-27,1.50846920033092,8.3e-06,1.50254585017453,1.6e-07,-1.05930587774123,718,5124,0,255,0.154330450563209,0.346916804505806,0.419566660369196,0.062610108613833,0,0,0,0,NA,0.943,14,70,2,0
ENSG00000168010,ATG16L2,2.37339180058495,2.51e-22,1.06024962799203,0.00063856305557,1.25977243917734,5.82e-05,0.952052028044099,0.087235583629399,-0.188781103639717,195,969,0,NA,NA,NA,0.917153259903831,NA,0,0,0,0,NA,0.791,6,3,0,0
ENSG00000228253,MT-ATP8,1.34227769431197,4.62e-22,1.6930565727759,1.45e-08,-0.10863286027871,0.948773938558456,0.231567780649749,0.781426437961842,0.779422607394608,NA,NA,0,NA,-0.27025924396361,0.409178351921888,0.826577293685481,-0.24567814668276,0,0,0,0,NA,0,NA,3,1,0
ENSG00000198695,MT-ND6,1.34435903598426,2.15e-21,1.48142356957352,4.53e-06,-0.283477939802391,0.788918029399887,0.505655269213532,0.146174863558998,0.617922207743755,NA,NA,0,NA,-0.422199403808963,0.330084720032689,0.591422087988185,-0.293326644234068,0,0,0,0,NA,0.076,7,2,0,0
ENSG00000112149,CD83,2.84638959702927,6.1e-21,1.66718328166661,1.15e-06,2.66536031001177,0.014711271082908,7.55171565827409,1.65e-12,2.67064153455557,462,2476,0,355,NA,0.991990141309033,0.775919652678183,0.939098601802423,0,0,0,0,0.42,0.558,5,1,1,0
ENSG00000132530,XAF1,3.72715529329073,8.09e-21,4.95026198820906,2.89e-09,4.39831946145971,3.14e-41,3.25288850138659,2.59e-07,-0.035340266179413,375,2230,0,NA,-0.240602621454602,-0.286708445044399,-0.056757248025915,-0.34282239099452,0,0,0,0,NA,0.926,7,10,0,0
ENSG00000111816,FRK,1.60615439146361,1.31e-20,0.587852043557084,0.835202464580984,1.79176466703537,1.38e-23,-0.21051532448329,0.762023378587249,0.304084825720358,254,1802,0,NA,-0.851265913242528,0.010160720325728,0.255513104002025,0.019367302967419,0,0,0,0,NA,0,12,0,0,0
ENSG00000137331,IER3,3.7709272121698,1.46e-20,4.27806018726821,5.83e-56,2.53204566539673,3.96e-13,1.47557770137335,0.012391165548527,1.48760534423896,772,4109,0,209,NA,0.770044040032845,0.790842689864127,0.776928485895397,0,0,0,0,NA,0.366,NA,7,0,0
ENSG00000168675,LDLRAD4,3.14765565172608,1.99e-20,0.871718260424779,0.001543787947265,0.187746062191601,0.600520255770206,0.228266661623127,0.651168921854563,1.5132433046326,461,3050,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0.957,9,1,0,0
ENSG00000146232,NFKBIE,2.23993857317462,2.98e-20,1.66928421195453,1.1e-13,2.66879197244015,4.03e-35,4.93557282473892,2.06e-66,1.56433679224787,612,2810,0,NA,NA,0.398001354022223,NA,0.23424246438309,0,0,0,0,0.3,0.409,9,78,0,0
ENSG00000117616,RSRP1,2.58361689072237,5.27e-20,2.35943663807074,2.97e-12,1.00072620568421,0.0108273495154,2.85406650479392,1.46e-19,0.154744501764952,89,948,0,400,0.197869823896236,0.540027719890266,0.821795038913048,0.048896520120263,0,0,0,0,0.42,0.28,1,2,0,0
ENSG00000163545,NUAK2,4.36624741730543,5.56e-20,1.60255826679101,5.58e-09,0.546073699319206,0.454407336288075,0.377213921488095,0.600978850009011,2.11395600162876,605,4227,0,216,NA,0.547980476476108,1.17768702918193,0.525845831257838,0,0,0,0,NA,0,9,10,0,0
ENSG00000069399,BCL3,1.71021617246896,7.58e-20,1.53514382706538,4.34e-11,2.66105576140738,0.004596179781086,3.80308313513257,2.78e-41,1.07290247533595,180,846,0,136,NA,NA,0.395388538446063,NA,0,0,0,0,0.14,0.409,6,75,0,0
ENSG00000198763,MT-ND2,1.43212036587665,1.28e-19,1.67076913346932,2.23e-08,-0.070972355159938,0.972842865372391,0.413959409980386,0.3897497825866,0.68172893409034,NA,NA,0,NA,1.15468667175852,0.447542051691169,0.762331552429351,0.68538302242663,0,0,0,0,NA,0.108,7,16,0,0
ENSG00000101104,PABPC1L,3.32319519911028,1.7e-19,2.35499242597812,1.95e-07,1.99327040854486,0.592954954846279,1.50921449926192,0.165409490731499,0.389574357459527,406,2128,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0.002,14,193,0,0
ENSG00000173209,AHSA2,2.3924706029809,2.15e-19,-0.164888364060826,0.483504843841122,0.45361648942006,0.246655243567792,0.208949928410556,0.669682376631807,0.816384330197206,745,5189,0,400,0.16103510639194,0.681705227218164,0.488308556286804,-0.255069051196742,0,0,0,0,NA,0.855,0,53,0,0
ENSG00000145779,TNFAIP8,2.34760748832662,2.86e-19,1.23019176549981,0.004391906293628,0.219008384459959,0.59253394837342,1.0803528073857,0.000536023587341,0.585257373774908,352,3058,0,NA,NA,0.573858560530146,0.736747521528507,0.59139309807481,0,0,0,0,0.08,0.334,11,8,0,0
ENSG00000198899,MT-ATP6,1.41836370847085,6.13e-19,1.6475316914368,9.5e-08,0.059930185965303,0.97389401132307,0.116436095533375,0.934174774054385,0.742543043205363,NA,NA,0,NA,-0.412693104106393,0.392662896636655,0.776468475649739,-0.31105489569959,0,0,0,0,NA,0.277,7,21,4,0
ENSG00000105939,ZC3HAV1,2.88043754151406,6.77e-19,2.50015963150977,1.08e-10,1.86649340768868,2.31e-16,1.71858594163363,5.03e-10,-0.16535466328065,631,5288,0,314,0.059792517111483,1.37755245570416,1.18894350249963,0.560268893328141,0,0,0,0,NA,0.223,5,23,1,0
ENSG00000132680,KIAA0907,1.20780841015266,1.03e-18,0.943551239687204,1.87e-05,0.795109056569064,0.00632142713996,0.446297572916671,0.175517900878187,-1.36696654994105,767,4823,0,219,-0.009401755746808,0.099323966601105,0.833441566871758,-0.062509422581496,0,0,0,0,0.07,0.899,7,5,0,0
ENSG00000105371,ICAM4,6.8335958633859,1.03e-18,1.63182360381203,1.76e-08,3.79585066619792,0.002030906639494,1.37696365418048,0.202492353000013,2.39221319830496,NA,NA,0,139,NA,NA,NA,NA,0,0,0,0,0.73,0,4,3,0,0
ENSG00000092529,CAPN3,2.75852955688185,2.42e-18,2.47457036209617,0.000245204105071,-1.02936777134961,0.258730984501703,0.628213267656562,1,2.15677955528777,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,12,16,1,0
ENSG00000204681,GABBR1,2.03343183638332,2.91e-18,1.47641115854932,0.007077790463136,0.180146847775462,0.713554651265626,0.704632610735489,0.023193483464952,0.625445785650824,626,2901,0,400,NA,0.51673337638851,NA,0.485028065456828,0,0,0,0,0.05,0.978,12,3,0,0
ENSG00000172432,GTPBP2,1.21032627041726,7.33e-18,0.526894480041226,0.00202214657933,1.0275726063559,0.000462451232586,1.35279009315221,0.051136877508049,-1.39990963732182,625,3885,0,400,0.040456504415288,0.13236890523369,0.186734387809503,0.126121110943764,0,0,0,0,0.03,0.967,12,95,0,0
ENSG00000050344,NFE2L3,2.82619621054099,1.05e-17,1.79447094629515,0.004321863991835,1.60140352062368,0.523133951866199,0.890952938797348,0.451907041770474,0.421814635676686,451,2671,0,264,NA,NA,NA,NA,0,0,1,0,0.46,0.863,4,9,0,0
ENSG00000184557,SOCS3,1.56686601991023,1.05e-17,1.14632519680286,2.64e-10,0.25653557817322,0.670288200902844,2.43277978622478,4.37e-13,0.205684727796299,850,4223,12.4861,400,NA,0.510682504800837,0.686203608137311,0.136243500379854,0,0,0,0,0.06,0,9,60,0,0
ENSG00000147689,FAM83A,5.39955854244135,1.59e-17,0.955628165592924,0.001438597264458,0.736830658218453,0.37600033420669,0.932798173462359,0.596165399245557,2.34519843586652,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0.023,8,0,0,0
ENSG00000198712,MT-CO2,1.3468224825891,2.05e-17,1.80318934617456,8.21e-12,-0.161363118907308,0.869385984283521,0.598440951395758,0.138010273503636,0.711181555170089,NA,NA,0,NA,0.002605636452584,0.396530188885948,0.813257590306218,-0.375534479623158,0,0,0,0,NA,0.35,15,166,6,0
ENSG00000067798,NAV3,1.48095086189091,1.69e-16,0.737349111704965,1.22e-06,0.89259462865705,0.00970264531467,1.98314276411066,9.55e-18,-0.609512734562673,770,5022,0,NA,0.099704222798944,0.855001263819518,0.394191351243522,0.432203875926118,0,0,0,0,0.1,0.995,12,7,0,0
ENSG00000163840,DTX3L,2.50367280820454,2.08e-16,1.38330261406853,0.000110894018867,3.97336127561305,2.87e-71,3.81591597845948,1.34e-24,1.417549416869,502,3250,0,182,0.05939820106375,0.028542825920744,0.321568849333708,-0.155600332246606,0,0,0,0,0.61,0.001,0,17,0,0
ENSG00000109320,NFKB1,1.56481327348018,2.54e-16,1.549849189344,1.63e-12,2.33611536459112,8.83e-23,2.0654983146928,1.13e-27,-0.838345831681883,691,4625,0,400,0.088345361981923,0.657021779103442,0.566329712194308,0.273866255433619,0,0,1,0,0.16,0.821,11,184,9,0
ENSG00000087074,PPP1R15A,2.24786365501266,2.76e-16,2.62424809724174,6.47e-17,4.50693506866644,1.55e-27,4.30339510789022,8.24e-08,1.36689860628542,913,5022,0,264,0.09433437193827,0.881761138377117,1.63402931096684,0.345154728252604,0,0,0,0,0.7,0.7,4,17,1,0
ENSG00000138755,CXCL9,9.78486429248962,3.29e-16,6.28306945376974,1.58e-05,11.4721959566245,1.35e-10,11.3202130148811,6.33e-16,2.66556420070456,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,0,1.07,0.763,5,6,1,0
ENSG00000165949,IFI27,4.30819555891565,4.77e-16,4.01364489983102,8.44e-06,0.053600529555491,0.935851884942587,0.015857747297047,1,2.83600351092409,115,595,0,NA,NA,NA,NA,0.214170597632754,0,0,0,0,NA,0,4,0,0,0
ENSG00000110944,IL23A,2.95511491471381,6.15e-16,3.85913041537267,9.21e-08,8.17468354210701,3.92e-14,8.05960183452991,9.19e-15,3.10869975863007,361,2379,14.0139,NA,NA,NA,NA,NA,1,0,0,0,0.38,0.867,4,5,0,0
ENSG00000106346,USP42,1.40004958345144,7.99e-16,1.8166237154069,1.24e-13,0.467608890579134,0.046439720178374,1.25041666533268,6.6e-07,-0.276983811114976,655,3851,0,400,0.157985979808923,0.108569332922273,NA,-0.094039010070457,0,0,0,0,NA,0,8,33,0,0
ENSG00000132424,PNISR,1.18214275854464,9.06e-16,1.35559412219826,3.84e-11,0.814801638311688,0.050100568579671,1.20127452096263,1.59e-05,-2.18130468494503,506,3897,0,122,-0.210878605378851,-0.120693938520681,0.27827930950244,-0.113489114844265,0,0,0,0,NA,0.874,9,16,0,0
ENSG00000162924,REL,1.65397926582417,9.8e-16,1.48309502603186,8.13e-05,2.16805644673034,2.12e-12,1.5848997730524,1.29e-07,-1.67586664741916,602,3873,0,400,NA,-0.303070109842822,0.180810267508536,0.485760381439165,0,0,1,0,0.24,0.821,9,101,9,0
ENSG00000184371,CSF1,2.34378138150194,1.11e-15,1.2556181860385,5.8e-06,2.51456503763629,1.11e-26,0.973232214360395,1.22e-05,-0.113095607578727,684,4797,0,211,NA,-0.119763277893013,0.127062656528519,-0.207015796580174,1,0,0,0,NA,0.626,6,9,1,0
ENSG00000107968,MAP3K8,2.72035662600645,1.27e-15,2.08848030442364,7.3e-07,3.15014475194989,1.01e-11,4.91376150930964,2.11e-09,1.26024122940627,909,5787,0,400,NA,NA,NA,0.306936697069936,0,0,0,0,NA,0.884,9,229,0,0
ENSG00000102878,HSF4,3.13286395790218,1.66e-15,2.12696659172429,0.019759319090096,-0.076743478141182,1,-0.135526853808583,0.985716338391129,2.04637497712495,350,1995,0,NA,NA,NA,NA,NA,0,0,1,0,NA,0.305,5,0,0,0
ENSG00000198886,MT-ND4,1.42993209026383,2.6e-15,1.57378538233646,2.04e-06,-0.138794791295682,0.9287359961717,0.550436738187161,0.056959962312801,0.589810920526346,NA,NA,0,NA,-0.19620586426729,0.413656320327581,0.749998405633271,-0.079964762056694,0,0,0,0,NA,0.253,7,16,0,0
ENSG00000057657,PRDM1,2.14589312958212,3.36e-15,1.98697240413148,7.45e-23,1.88364157324949,2.55e-06,1.93487213735626,4.79e-06,-3.45224778685743,435,3801,0,158,NA,0.960460779669271,0.40418868930914,0.476570220643476,0,0,1,0,0.12,0.953,9,25,0,0
ENSG00000122257,RBBP6,1.52699544395083,5.99e-15,1.7801895564452,6.01e-11,0.262927861455747,0.758745025689125,0.455803168509371,0.1596723362172,0.530834420941876,657,5127,0,400,0.130149395693057,0.465697060816873,0.571620023036205,-0.365708409502724,0,0,0,0,0.1,0.009,13,87,1,0
ENSG00000132109,TRIM21,2.29149616833853,8.11e-15,2.30447334360154,2.98e-09,3.75582447367915,2.2e-22,4.53855107360466,1.95e-22,1.27333816420078,283,1655,0,NA,0.099380667540051,0.509540463767705,-0.161522287786472,-0.103629977814824,0,0,0,0,NA,0,3,127,4,1
ENSG00000108342,CSF3,4.44470103412294,8.79e-15,6.79567619710257,2.27e-17,4.86736898103823,0.000426803135648,2.56580475302581,0.253217435486733,1.84526392354624,155,743,13.3611,NA,NA,NA,0.865929642116602,NA,1,0,0,0,0.26,0.911,8,2,0,0
ENSG00000003402,CFLAR,1.39429491016481,1.01e-14,1.03259292592003,1.07e-06,1.42342265216718,9.04e-12,1.02291774066437,7.03e-05,-2.61862922122842,860,4363,0,NA,-0.090581678030284,0.169854546101856,-0.04547547937087,-0.37344189037122,0,0,0,0,0.42,0.959,7,44,1,0
ENSG00000025708,TYMP,1.48054618123837,1.6e-14,0.788612032211983,0.014314323856743,-0.000994192011954,1,-0.247432776034673,0.762023378587249,0.541995746799226,844,4069,0,400,0.113829564367162,0.33005687342363,-0.193699548786885,0.089187546112355,0,0,0,0,0.19,0.673,3,5,0,0
ENSG00000170345,FOS,3.39620352199499,1.81e-14,3.96327829927179,2.85e-07,2.80941774077224,0.000746186777388,4.22884985890105,1.31e-12,-0.494484898137995,620,4074,0,400,NA,1.02906529500309,0.527558861871855,1.09187259657759,0,0,1,0,0.05,0.895,9,128,3,0
ENSG00000164136,IL15,2.23010363398598,1.94e-14,2.73473145569056,1.33e-07,3.85638333316672,4.33e-11,5.81145067383948,1.9e-23,1.87927939735406,475,3752,0,400,NA,1.08158047262135,NA,0.128841093374633,1,0,0,0,0.35,0.9,7,3,1,0
ENSG00000060491,OGFR,1.16349601310365,2e-14,0.745016492355665,0.004033816394234,1.38358824012033,2.25e-13,1.37052626372353,3.69e-08,-1.50244795283351,523,2235,0,400,NA,0.670044543694289,NA,-0.184402563093458,0,0,0,0,0.27,0.977,9,6,0,0
ENSG00000185215,TNFAIP2,3.85946433028362,3.01e-14,3.16588664364508,5.84e-16,2.99950519035558,4.51e-42,1.73233159047469,1.18e-13,0.60799583993626,1169,6156,0,400,0.014772687226005,0.306477559476606,1.77970389002996,0.448749424420459,0,0,0,0,0.2,0.004,9,22,0,0
ENSG00000184465,WDR27,1.68272342142771,3.4e-14,1.51320600462976,0.024939655331387,0.511584925542027,0.552214971388581,1.26312862131411,0.702976715635171,-0.4256389931829,802,4769,0,NA,NA,0.277156977971085,0.305102096622706,NA,0,0,0,0,NA,0.947,NA,1,0,0
ENSG00000073756,PTGS2,3.82624756888126,3.97e-14,4.99105916236233,1.65e-12,2.62601942404725,3.41e-16,1.31838134777889,0.057039570929085,1.9025520498258,610,5259,11.6389,48,NA,1.28769913278186,1.76567311188504,0.536278508672436,0,0,0,0,0.12,0.984,10,27,1,0
ENSG00000137802,MAPKBP1,1.01831740804253,4.19e-14,0.036784769750601,0.908977623055402,1.39461644135887,3.69e-06,0.859151808058384,0.000135172023795,-0.397895438678989,689,5142,0,243,NA,NA,NA,NA,0,0,0,0,0.2,0.696,12,16,0,0
ENSG00000198804,MT-CO1,1.30988180059721,5.38e-14,1.85445697597122,7.84e-10,-0.06389209329715,0.972062246670855,0.684350666966005,0.009139983971087,0.605374946458882,NA,NA,0,NA,-0.375789344836984,0.368666023328703,0.772278779275854,-0.360236538103495,0,0,0,0,NA,0.131,15,44,0,0
ENSG00000108848,LUC7L3,1.10214036700688,6.02e-14,1.13170998300136,9.51e-10,0.485862349421203,0.308821518766295,0.767980440768307,0.00023500803951,-1.34622804697518,426,3309,0,313,-0.056652185015292,0.203297058372171,0.514385403652081,-0.004667985792294,0,0,0,0,0.04,0.875,0,124,3,0
ENSG00000064932,SBNO2,1.14851797709408,7.22e-14,0.949782982201329,4.57e-06,0.55145266624002,0.317985513491538,1.84328169737073,3.71e-16,-0.800626268217949,888,3606,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0.991,12,4,0,0
ENSG00000176444,CLK2,1.25213508505799,1.05e-13,1.66326676229516,4.02e-12,0.121455779501982,0.735270912314736,0.779135513136873,0.002656034330792,0.152942834843968,426,2642,0,229,NA,-0.032232139353914,0.64076248623584,0.125095245137115,0,0,0,0,NA,0.943,14,112,2,0
ENSG00000153234,NR4A2,2.62884412835299,1.13e-13,3.20036943788669,0.000228634307564,0.492109995837965,0.322063451900707,0.173701995840817,0.840680990372578,1.91282380641325,589,2924,0,400,NA,NA,NA,NA,0,0,1,0,NA,0.003,12,50,0,0
ENSG00000272886,DCP1A,1.24731380577728,1.21e-13,0.470409541909027,0.006152610700628,0.565655253071422,0.003435016322113,0.141133019075945,0.793163828419155,-0.795296696262571,400,3015,0,399,0.220736332247869,0.293500427531708,-0.008201803855352,-0.040301455373845,0,0,0,0,NA,0.765,NA,0,0,0
ENSG00000112096,SOD2,3.36983602360122,1.67e-13,2.56189716294282,3.05e-15,1.63516188340458,1.14e-10,0.452525919545521,0.078243158264909,1.43675443596827,378,2976,0,400,-0.535588551239892,1.09200153188595,1.57164791712594,0.272538514200701,0,0,0,0,0.14,0.774,15,72,0,0
ENSG00000144655,CSRNP1,2.43064972075351,1.81e-13,1.69720810079985,1.54e-11,3.75523416807421,2.83e-16,3.38727663624397,2.16e-39,0.892147819235454,877,4331,0,400,NA,0.302833487523138,NA,0.187136083425668,0,0,0,0,0.18,0.796,4,7,0,0
