geneid,mouse_TATA_100bp_TSS_fimo.txt,mouse_most_abundant_03_01_ov_cpg.txt,mouse_most_abundant_05_01_ov_cpg.txt
ENSMUSG00000047735,0,0,0
ENSMUSG00000015312,0,400,471
ENSMUSG00000027962,0,0,0
ENSMUSG00000030107,0,210,210
ENSMUSG00000006715,0,347,347
ENSMUSG00000020250,0,315,315
ENSMUSG00000022906,0,400,600
ENSMUSG00000016529,1.27E-06,0,0
ENSMUSG00000058013,0,400,600
ENSMUSG00000078853,0,0,0
ENSMUSG00000026031,0,218,218
ENSMUSG00000089774,0,400,446
ENSMUSG00000074896,7.19E-05,0,0
ENSMUSG00000010358,0,0,0
ENSMUSG00000021384,0,85,85
ENSMUSG00000028214,0,0,0
ENSMUSG00000021281,0,217,217
ENSMUSG00000025591,0,228,228
ENSMUSG00000068245,0,0,0
ENSMUSG00000047945,0,166,166
ENSMUSG00000000184,0,0,0
ENSMUSG00000020696,0,252,252
ENSMUSG00000025044,0,0,0
ENSMUSG00000056220,0,0,0
ENSMUSG00000027360,0,0,0
ENSMUSG00000029553,0,0,0
ENSMUSG00000017144,3.01E-05,206,206
ENSMUSG00000027009,0,198,198
ENSMUSG00000037752,0,0,0
ENSMUSG00000032578,0,0,0
ENSMUSG00000025278,0,196,196
ENSMUSG00000055322,0,400,574
ENSMUSG00000042608,0,155,155
ENSMUSG00000026547,0,69,69
ENSMUSG00000027514,0,0,0
ENSMUSG00000028599,0,51,51
ENSMUSG00000028037,0,0,0
ENSMUSG00000053820,0,0,0
ENSMUSG00000079419,0,0,0
ENSMUSG00000038034,0,138,138
ENSMUSG00000049502,0,112,112
ENSMUSG00000026827,0,400,600
ENSMUSG00000030203,0,400,472
ENSMUSG00000073491,0,0,0
ENSMUSG00000079197,0,0,46
ENSMUSG00000004043,0,0,0
ENSMUSG00000021765,0,400,600
ENSMUSG00000020134,0,154,154
ENSMUSG00000027580,0,0,0
ENSMUSG00000031504,0,199,199
ENSMUSG00000022353,0,400,600
ENSMUSG00000024732,0,237,237
ENSMUSG00000031596,0,0,0
ENSMUSG00000045502,0,0,0
ENSMUSG00000035891,0,0,0
ENSMUSG00000028412,0,400,600
ENSMUSG00000025795,0,400,600
ENSMUSG00000029822,0,48,48
ENSMUSG00000033949,0,400,516
ENSMUSG00000021930,0,400,600
ENSMUSG00000053007,0,0,0
ENSMUSG00000019122,0,0,0
ENSMUSG00000027078,0,0,0
ENSMUSG00000033066,0,0,0
ENSMUSG00000045672,0,400,600
ENSMUSG00000066684,0,0,0
ENSMUSG00000062488,0,0,0
ENSMUSG00000030403,0,264,78
ENSMUSG00000021895,0,0,0
ENSMUSG00000066152,0,258,258
ENSMUSG00000029915,0,0,0
ENSMUSG00000020400,0,0,0
ENSMUSG00000037235,0,400,600
ENSMUSG00000024737,0,0,0
ENSMUSG00000010307,0,265,265
ENSMUSG00000059588,0,0,0
ENSMUSG00000020593,0,176,176
ENSMUSG00000091649,0,0,0
ENSMUSG00000009376,0,400,513
ENSMUSG00000021125,0,213,213
ENSMUSG00000043263,0,0,0
ENSMUSG00000045382,9.27E-05,0,0
ENSMUSG00000055994,0,0,0
ENSMUSG00000020572,0,400,600
ENSMUSG00000046982,0,0,0
ENSMUSG00000027947,0,283,283
ENSMUSG00000070327,0,0,0
ENSMUSG00000003863,0,400,600
ENSMUSG00000022534,0,0,0
ENSMUSG00000028184,0,189,189
ENSMUSG00000025498,0,0,0
ENSMUSG00000023106,0,210,210
ENSMUSG00000027087,0,262,262
ENSMUSG00000041707,0,0,0
ENSMUSG00000021133,0,239,239
ENSMUSG00000066861,0,0,0
ENSMUSG00000032724,0,259,259
ENSMUSG00000024975,0,392,392
ENSMUSG00000026893,0,110,110
ENSMUSG00000002983,0,326,326
ENSMUSG00000069662,0,0,0
ENSMUSG00000019832,0,54,54
ENSMUSG00000034248,0,201,201
ENSMUSG00000024778,0,0,0
ENSMUSG00000037242,0,400,514
ENSMUSG00000024379,0,0,0
ENSMUSG00000020841,0,129,129
ENSMUSG00000024785,0,400,521
ENSMUSG00000033446,0,0,0
ENSMUSG00000068129,0,0,0
ENSMUSG00000022667,0,0,0
ENSMUSG00000040943,0,400,600
ENSMUSG00000068417,0,0,0
ENSMUSG00000042622,0,332,332
ENSMUSG00000072620,0,0,0
ENSMUSG00000024966,5.1E-07,25,91
ENSMUSG00000071757,0,27,227
ENSMUSG00000036718,0,138,138
ENSMUSG00000031799,0,303,303
ENSMUSG00000025383,0,0,0
ENSMUSG00000027646,0,400,403
ENSMUSG00000037820,0,0,0
ENSMUSG00000038178,9.67E-05,400,600
ENSMUSG00000020190,3.85E-05,400,600
ENSMUSG00000020205,0,249,249
ENSMUSG00000032690,0,0,0
ENSMUSG00000027351,0,400,600
ENSMUSG00000042675,0,294,294
ENSMUSG00000078616,0,0,0
ENSMUSG00000050010,0,400,600
ENSMUSG00000032788,0,202,202
ENSMUSG00000073489,0,0,0
ENSMUSG00000031453,0,400,418
ENSMUSG00000006219,0,0,0
ENSMUSG00000020034,0,400,453
ENSMUSG00000054404,0,0,0
ENSMUSG00000022661,0,0,0
ENSMUSG00000038507,0,400,600
ENSMUSG00000000957,0,0,0
ENSMUSG00000037697,0,400,430
ENSMUSG00000051379,0,0,0
ENSMUSG00000004947,0,108,108
ENSMUSG00000026104,0,299,299
ENSMUSG00000020806,0,281,281
ENSMUSG00000032754,0,182,182
ENSMUSG00000043157,0,0,0
ENSMUSG00000000628,0,400,464
ENSMUSG00000024754,0,309,309
ENSMUSG00000045551,0,0,0
ENSMUSG00000096727,0,391,393
ENSMUSG00000045658,0,67,67
ENSMUSG00000051343,0,188,185
ENSMUSG00000032475,0,0,0
ENSMUSG00000023087,0,0,0
ENSMUSG00000021871,7.95E-05,0,0
ENSMUSG00000031779,0,0,0
ENSMUSG00000038843,0,197,197
ENSMUSG00000013846,0,0,0
ENSMUSG00000047888,0,400,456
ENSMUSG00000024486,0,369,369
ENSMUSG00000055723,0,186,186
ENSMUSG00000021366,0,359,359
ENSMUSG00000030587,0,0,0
ENSMUSG00000022372,0,0,0
ENSMUSG00000025324,0,238,238
ENSMUSG00000037447,0,238,238
ENSMUSG00000028385,0,229,229
ENSMUSG00000079339,0,0,0
ENSMUSG00000039501,0,365,365
ENSMUSG00000027624,0,400,548
ENSMUSG00000023460,0,342,342
ENSMUSG00000027368,4.32E-05,291,291
ENSMUSG00000037348,0,0,0
ENSMUSG00000028128,0,319,319
ENSMUSG00000023067,0,270,270
ENSMUSG00000074151,0,0,0
ENSMUSG00000070544,0,320,320
ENSMUSG00000015396,0,237,237
ENSMUSG00000021998,0,0,0
ENSMUSG00000052144,0,257,257
ENSMUSG00000001248,0,69,69
ENSMUSG00000066258,0,0,0
ENSMUSG00000035274,0,192,192
ENSMUSG00000038067,0,0,0
ENSMUSG00000052776,0,0,0
ENSMUSG00000025154,0,121,121
ENSMUSG00000006418,0,0,0
ENSMUSG00000049401,0,119,119
ENSMUSG00000021024,0,218,218
ENSMUSG00000041481,0,0,0
ENSMUSG00000048965,0,0,0
ENSMUSG00000031444,0,0,0
ENSMUSG00000033545,0,400,600
ENSMUSG00000061024,0,239,239
ENSMUSG00000015766,0,0,0
ENSMUSG00000044350,0,360,360
ENSMUSG00000090231,0,0,0
ENSMUSG00000098112,0,0,0
ENSMUSG00000061175,0,0,0
ENSMUSG00000009418,0,0,0
ENSMUSG00000022724,0,159,159
ENSMUSG00000042349,0,0,0
ENSMUSG00000020101,0,124,124
ENSMUSG00000031662,0,0,0
ENSMUSG00000045165,0,0,0
ENSMUSG00000081650,0,0,0
ENSMUSG00000027339,0,0,0
ENSMUSG00000020275,0,400,600
ENSMUSG00000024679,0,0,0
ENSMUSG00000062190,0,0,0
ENSMUSG00000026012,0,0,0
ENSMUSG00000053175,0,92,92
ENSMUSG00000028381,0,290,290
ENSMUSG00000059479,0,339,339
ENSMUSG00000039236,0,0,0
ENSMUSG00000060550,0,174,174
ENSMUSG00000080316,0,0,0
ENSMUSG00000066682,0,0,0
ENSMUSG00000038459,0,400,531
ENSMUSG00000007655,0,0,0
ENSMUSG00000034343,0,128,128
ENSMUSG00000021990,0,0,0
ENSMUSG00000015501,0,400,600
ENSMUSG00000034854,0,216,216
ENSMUSG00000012519,0,34,34
ENSMUSG00000039191,0,373,573
ENSMUSG00000035697,0,0,0
ENSMUSG00000032068,0,0,0
ENSMUSG00000073409,0,162,162
ENSMUSG00000024030,0,201,201
ENSMUSG00000070031,0,0,0
ENSMUSG00000031897,0,0,0
ENSMUSG00000029840,0,203,203
ENSMUSG00000062593,0,0,0
ENSMUSG00000025245,0,281,281
ENSMUSG00000026770,0,0,0
ENSMUSG00000032413,0,57,57
ENSMUSG00000052688,0,0,0
ENSMUSG00000026637,0,292,292
ENSMUSG00000018909,0,149,149
ENSMUSG00000021109,0,400,529
ENSMUSG00000034957,3.29E-06,400,600
ENSMUSG00000026390,0,0,0
ENSMUSG00000028156,0,0,0
ENSMUSG00000032322,0,0,0
ENSMUSG00000026946,0,91,91
ENSMUSG00000057135,0,0,0
ENSMUSG00000044703,0,0,0
ENSMUSG00000028527,0,239,239
ENSMUSG00000040033,0,317,317
ENSMUSG00000033192,0,180,180
ENSMUSG00000021367,0,0,0
ENSMUSG00000019854,0,400,600
ENSMUSG00000039908,0,371,371
ENSMUSG00000029780,0,0,0
ENSMUSG00000044103,0,0,0
ENSMUSG00000036053,0,329,329
ENSMUSG00000004317,0,0,0
ENSMUSG00000003206,0,0,0
ENSMUSG00000032369,0,74,74
ENSMUSG00000038332,0,250,250
ENSMUSG00000054072,0,0,0
ENSMUSG00000056144,0,0,0
ENSMUSG00000038608,0,400,437
ENSMUSG00000037331,0,63,212
ENSMUSG00000037419,0,39,39
ENSMUSG00000049800,0,400,600
ENSMUSG00000029217,0,381,455
ENSMUSG00000015143,0,400,528
ENSMUSG00000073910,0,114,114
ENSMUSG00000040760,0,0,0
ENSMUSG00000051367,0,0,0
ENSMUSG00000031609,0,250,250
ENSMUSG00000039804,0,267,267
ENSMUSG00000066026,0,351,551
ENSMUSG00000033355,0,0,0
ENSMUSG00000079003,0,0,0
ENSMUSG00000049103,0,0,0
ENSMUSG00000082976,0,0,0
ENSMUSG00000022708,0,0,0
ENSMUSG00000027878,0,330,330
ENSMUSG00000025888,0,0,0
ENSMUSG00000002871,0,400,475
ENSMUSG00000024079,0,0,0
ENSMUSG00000025854,0,179,179
ENSMUSG00000026981,0,0,0
ENSMUSG00000039852,0,0,0
ENSMUSG00000019838,0,284,284
ENSMUSG00000004609,0,0,0
ENSMUSG00000021298,0,0,0
ENSMUSG00000046879,0,0,0
ENSMUSG00000030966,0,0,0
ENSMUSG00000056366,0,0,0
ENSMUSG00000014956,0,153,153
ENSMUSG00000039156,0,400,406
ENSMUSG00000029910,0,400,439
ENSMUSG00000027361,0,400,547
ENSMUSG00000000732,0,347,347
ENSMUSG00000060591,0,0,0
ENSMUSG00000028645,0,126,126
ENSMUSG00000018654,0,400,600
ENSMUSG00000001542,0,338,338
ENSMUSG00000005089,0,109,109
ENSMUSG00000038127,0,186,186
ENSMUSG00000042719,0,177,177
ENSMUSG00000024620,0,0,0
ENSMUSG00000045980,0,311,311
ENSMUSG00000033857,0,190,190
ENSMUSG00000040328,0,0,0
ENSMUSG00000020100,0,263,263
ENSMUSG00000024339,0,0,0
ENSMUSG00000034157,0,400,597
ENSMUSG00000026288,0,0,0
ENSMUSG00000027540,0,400,434
ENSMUSG00000021733,0,400,418
ENSMUSG00000095595,0,254,254
ENSMUSG00000002797,0,311,311
ENSMUSG00000029275,0,0,158
ENSMUSG00000039232,0,400,528
ENSMUSG00000041153,0,400,486
ENSMUSG00000037111,0,326,326
ENSMUSG00000104713,0,0,0
ENSMUSG00000078153,0,0,0
ENSMUSG00000060429,0,258,258
ENSMUSG00000040511,0,175,175
ENSMUSG00000020010,0,0,0
ENSMUSG00000038024,0,333,333
ENSMUSG00000000555,0,68,68
ENSMUSG00000045573,0,353,553
ENSMUSG00000031101,0,0,0
ENSMUSG00000022864,0,359,359
ENSMUSG00000038301,0,80,80
ENSMUSG00000023147,0,369,369
ENSMUSG00000043279,0,0,0
ENSMUSG00000093954,0,201,201
ENSMUSG00000034247,0,400,428
ENSMUSG00000004099,0,129,129
ENSMUSG00000024431,0,0,0
ENSMUSG00000024953,0,400,600
ENSMUSG00000015745,0,400,600
ENSMUSG00000006403,0,0,0
ENSMUSG00000022831,0,0,0
ENSMUSG00000026430,0,0,0
ENSMUSG00000028341,0,400,519
ENSMUSG00000020671,0,307,307
ENSMUSG00000064267,0,0,0
ENSMUSG00000021701,9.36E-05,400,536
ENSMUSG00000022895,0,312,312
ENSMUSG00000040616,0,400,488
ENSMUSG00000053819,0,400,502
ENSMUSG00000079363,0,0,0
ENSMUSG00000039531,0,40,40
ENSMUSG00000074743,0,258,258
ENSMUSG00000089672,0,0,0
ENSMUSG00000002897,0,172,172
ENSMUSG00000018916,0,0,0
ENSMUSG00000042396,0,400,600
ENSMUSG00000002227,0,0,0
ENSMUSG00000020869,0,264,264
ENSMUSG00000028634,0,0,0
ENSMUSG00000013415,0,400,600
ENSMUSG00000056724,0,246,246
ENSMUSG00000060675,0,0,0
ENSMUSG00000005686,0,0,0
ENSMUSG00000029377,0,0,0
ENSMUSG00000019189,0,376,376
ENSMUSG00000024164,0,0,0
ENSMUSG00000008855,0,217,217
ENSMUSG00000034266,0,0,0
ENSMUSG00000007682,0,0,0
ENSMUSG00000021457,0,0,0
ENSMUSG00000029333,0,400,406
ENSMUSG00000075595,0,175,175
ENSMUSG00000037972,0,400,424
ENSMUSG00000102418,0,0,0
ENSMUSG00000022971,0,141,141
ENSMUSG00000027613,0,6,6
ENSMUSG00000063450,0,400,415
ENSMUSG00000000204,0,0,0
ENSMUSG00000036611,0,162,162
ENSMUSG00000026131,0,0,0
ENSMUSG00000029650,0,389,389
ENSMUSG00000021322,0,0,0
ENSMUSG00000024696,0,0,0
ENSMUSG00000026110,0,0,0
ENSMUSG00000038213,0,0,0
ENSMUSG00000026786,0,0,0
ENSMUSG00000054720,0,110,110
ENSMUSG00000029490,0,115,115
ENSMUSG00000024245,0,123,123
ENSMUSG00000017765,0,189,189
ENSMUSG00000000247,0,19,19
ENSMUSG00000046314,0,241,241
ENSMUSG00000048285,0,146,146
ENSMUSG00000022408,0,400,516
ENSMUSG00000024927,0,400,418
ENSMUSG00000005973,0,229,229
ENSMUSG00000023961,0,304,304
ENSMUSG00000032014,0,389,389
ENSMUSG00000078515,0,218,218
ENSMUSG00000066150,0,359,559
ENSMUSG00000038352,0,0,0
ENSMUSG00000032741,0,0,0
ENSMUSG00000030269,0,328,328
ENSMUSG00000035900,0,0,0
ENSMUSG00000063236,0,228,228
ENSMUSG00000020664,0,189,189
ENSMUSG00000052749,0,0,0
ENSMUSG00000001707,0,257,257
ENSMUSG00000020629,0,185,185
ENSMUSG00000081769,0,289,289
ENSMUSG00000018920,0,0,0
ENSMUSG00000058230,0,400,600
ENSMUSG00000069793,0,0,0
ENSMUSG00000038668,0,199,199
ENSMUSG00000053040,0,400,600
ENSMUSG00000027195,0,400,410
ENSMUSG00000041782,0,190,190
ENSMUSG00000023088,0,353,353
ENSMUSG00000004530,0,400,505
ENSMUSG00000031765,0,293,293
ENSMUSG00000028494,0,0,0
ENSMUSG00000024308,0,0,0
ENSMUSG00000029131,0,339,339
ENSMUSG00000044674,0,310,310
ENSMUSG00000048234,0,222,222
ENSMUSG00000052609,0,400,595
ENSMUSG00000020589,0,96,96
ENSMUSG00000038179,0,0,0
ENSMUSG00000032624,0,234,234
ENSMUSG00000024535,0,400,481
ENSMUSG00000035929,0,171,171
ENSMUSG00000039217,0,0,0
ENSMUSG00000024402,0,0,0
ENSMUSG00000005615,0,400,407
ENSMUSG00000020634,0,220,220
ENSMUSG00000030980,0,325,325
ENSMUSG00000023030,0,400,563
ENSMUSG00000000532,0,400,527
ENSMUSG00000022967,0,400,403
ENSMUSG00000021614,0,178,178
ENSMUSG00000039693,0,134,334
ENSMUSG00000060261,0,400,430
ENSMUSG00000018983,0,229,229
ENSMUSG00000054604,0,400,600
ENSMUSG00000028583,0,0,0
ENSMUSG00000020057,0,328,328
ENSMUSG00000031246,0,0,0
ENSMUSG00000038518,9.79E-06,388,588
ENSMUSG00000026984,0,0,0
ENSMUSG00000024424,0,0,0
ENSMUSG00000048756,0,400,600
ENSMUSG00000041238,0,324,324
ENSMUSG00000028538,0,354,354
ENSMUSG00000060450,0,169,169
ENSMUSG00000016206,0,0,0
ENSMUSG00000024338,0,0,0
ENSMUSG00000000440,0,84,84
ENSMUSG00000030691,0,400,600
ENSMUSG00000038893,0,159,159
ENSMUSG00000048249,0,349,349
ENSMUSG00000034522,0,400,600
ENSMUSG00000042726,0,163,163
ENSMUSG00000049866,0,393,393
ENSMUSG00000036273,0,0,0
ENSMUSG00000024472,0,337,337
ENSMUSG00000042105,0,78,78
ENSMUSG00000029178,0,400,600
ENSMUSG00000021127,0,113,113
ENSMUSG00000059013,0,0,0
ENSMUSG00000020261,0,208,208
ENSMUSG00000021196,0,221,221
ENSMUSG00000027219,0,0,0
ENSMUSG00000066595,0,400,429
ENSMUSG00000094103,0,195,195
ENSMUSG00000021579,1.3E-05,0,0
ENSMUSG00000033902,0,245,338
ENSMUSG00000035235,0,184,184
ENSMUSG00000073555,0,0,0
ENSMUSG00000027544,0,181,181
ENSMUSG00000034041,0,0,0
ENSMUSG00000011179,0,400,400
ENSMUSG00000027281,0,0,0
ENSMUSG00000047098,0,267,267
ENSMUSG00000021725,0,400,512
ENSMUSG00000040345,0,0,0
ENSMUSG00000066363,0,0,0
ENSMUSG00000048058,0,148,148
ENSMUSG00000003546,0,0,0
ENSMUSG00000039841,0,400,487
ENSMUSG00000036918,0,400,529
ENSMUSG00000028525,0,0,0
ENSMUSG00000025950,0,292,292
ENSMUSG00000039116,0,371,571
ENSMUSG00000028403,0,228,228
ENSMUSG00000050108,0,0,0
ENSMUSG00000052681,0,400,556
ENSMUSG00000037568,0,255,255
ENSMUSG00000052397,0,359,559
ENSMUSG00000030469,0,193,193
ENSMUSG00000022876,0,0,0
ENSMUSG00000031530,0,400,600
ENSMUSG00000050549,0,0,0
ENSMUSG00000028439,0,400,415
ENSMUSG00000026360,0,332,380
ENSMUSG00000036381,0,0,0
ENSMUSG00000025337,0,201,201
ENSMUSG00000039470,0,400,500
ENSMUSG00000027552,0,291,291
ENSMUSG00000033705,0,0,0
ENSMUSG00000016559,2.49E-05,270,270
ENSMUSG00000024981,0,0,0
ENSMUSG00000078349,0,343,343
ENSMUSG00000002997,0,62,62
ENSMUSG00000049086,0,185,185
ENSMUSG00000022010,0,400,431
ENSMUSG00000019920,0,317,317
ENSMUSG00000002325,0,0,0
ENSMUSG00000030188,0,148,148
ENSMUSG00000035790,0,400,509
ENSMUSG00000024529,0,0,0
ENSMUSG00000001123,0,0,0
ENSMUSG00000024583,0,400,469
ENSMUSG00000057143,0,0,0
ENSMUSG00000029007,0,173,173
ENSMUSG00000031652,0,252,252
ENSMUSG00000067149,0,0,0
ENSMUSG00000079800,0,0,0
ENSMUSG00000046718,0,0,0
ENSMUSG00000031780,0,0,0
ENSMUSG00000030747,0,400,452
ENSMUSG00000015711,0,0,0
ENSMUSG00000019210,0,159,159
ENSMUSG00000022867,0,400,600
ENSMUSG00000023330,0,319,319
ENSMUSG00000040209,0,212,212
ENSMUSG00000033487,0,400,600
ENSMUSG00000029265,0,300,300
ENSMUSG00000032786,0,400,427
ENSMUSG00000047810,0,0,0
ENSMUSG00000079020,0,0,0
ENSMUSG00000041126,0,400,419
ENSMUSG00000055202,0,0,0
ENSMUSG00000022272,0,400,413
ENSMUSG00000031879,0,193,193
ENSMUSG00000022216,0,125,125
ENSMUSG00000021759,0,313,313
ENSMUSG00000026942,0,313,313
ENSMUSG00000021756,0,400,448
ENSMUSG00000016524,0,0,0
ENSMUSG00000027562,0,390,390
ENSMUSG00000020393,0,400,600
ENSMUSG00000034575,0,400,600
ENSMUSG00000073700,0,281,281
ENSMUSG00000024014,0,400,600
ENSMUSG00000050565,0,0,0
ENSMUSG00000027660,0,400,600
ENSMUSG00000029722,0,400,405
ENSMUSG00000045312,0,0,0
ENSMUSG00000031792,0,400,600
ENSMUSG00000018565,0,350,437
ENSMUSG00000038400,0,0,0
ENSMUSG00000017057,0,263,263
ENSMUSG00000036528,0,0,0
ENSMUSG00000033316,0,0,0
ENSMUSG00000048200,0,0,0
ENSMUSG00000060860,0,250,250
ENSMUSG00000002307,0,0,0
ENSMUSG00000022255,0,400,584
ENSMUSG00000020826,0,0,0
ENSMUSG00000024085,0,213,213
ENSMUSG00000055053,0,0,0
ENSMUSG00000050310,0,400,600
ENSMUSG00000029050,0,400,600
ENSMUSG00000015243,3.18E-05,393,393
ENSMUSG00000025287,0,145,145
ENSMUSG00000026470,0,267,267
ENSMUSG00000030126,0,400,410
ENSMUSG00000035439,0,389,589
ENSMUSG00000042364,0,284,284
ENSMUSG00000051439,0,0,0
ENSMUSG00000032666,0,303,303
ENSMUSG00000020263,0,279,279
ENSMUSG00000022529,2.74E-05,246,246
ENSMUSG00000028914,0,323,323
ENSMUSG00000037211,0,312,312
ENSMUSG00000024069,0,239,239
ENSMUSG00000062585,0,0,0
ENSMUSG00000026395,0,0,0
ENSMUSG00000066306,0,0,0
ENSMUSG00000045795,0,154,154
ENSMUSG00000056515,0,235,235
ENSMUSG00000074361,0,0,0
ENSMUSG00000024539,0,249,249
ENSMUSG00000040093,0,112,112
ENSMUSG00000027956,0,0,0
ENSMUSG00000034640,0,400,600
ENSMUSG00000027366,0,166,166
ENSMUSG00000049988,0,0,0
ENSMUSG00000026832,0,0,0
ENSMUSG00000038451,0,0,0
ENSMUSG00000005802,0,387,387
ENSMUSG00000038702,0,178,178
ENSMUSG00000026207,0,0,0
ENSMUSG00000039285,0,400,497
ENSMUSG00000018377,0,400,534
ENSMUSG00000034652,0,0,0
ENSMUSG00000038235,0,205,205
ENSMUSG00000036402,0,276,276
ENSMUSG00000024360,0,400,600
ENSMUSG00000028126,0,241,241
ENSMUSG00000054364,5.01E-05,400,561
ENSMUSG00000029298,0,0,0
ENSMUSG00000050212,0,0,0
ENSMUSG00000008734,0,0,0
ENSMUSG00000032508,0,59,59
