ENSSSCG00000020823	BSCL2	ENSSSCT00000025488
ENSSSCG00000005211	CD274	ENSSSCT00000005744,ENSSSCT00000035491
ENSSSCG00000029518	RIOK3	ENSSSCT00000028729
ENSSSCG00000022272	NAN	ENSSSCT00000031253
ENSSSCG00000028264	NAN	ENSSSCT00000032062
ENSSSCG00000002986	SELV	ENSSSCT00000003317
ENSSSCG00000009853	WSB2	ENSSSCT00000010800
ENSSSCG00000013869	CPAMD8	ENSSSCT00000015149
ENSSSCG00000011014	BAMBI	ENSSSCT00000012056
ENSSSCG00000016752	MYL7	ENSSSCT00000018234
ENSSSCG00000005360	IGFBPL1	ENSSSCT00000005900
ENSSSCG00000015244	APLP2	ENSSSCT00000016613
ENSSSCG00000014493	NAN	ENSSSCT00000015843
ENSSSCG00000016637	TFEC	ENSSSCT00000028328,ENSSSCT00000018115
ENSSSCG00000021739	HSD17B12	ENSSSCT00000027104,ENSSSCT00000031374
ENSSSCG00000003551	PAQR7	ENSSSCT00000003945
ENSSSCG00000011403	NAT6	ENSSSCT00000012482
ENSSSCG00000011796	CRYGS	ENSSSCT00000012908
ENSSSCG00000004827	GABRA5	ENSSSCT00000005329
ENSSSCG00000021476	NAN	ENSSSCT00000023934,ENSSSCT00000023528
ENSSSCG00000003603	NAN	ENSSSCT00000003998,ENSSSCT00000032016
ENSSSCG00000013836	WIZ	ENSSSCT00000031594,ENSSSCT00000015114,ENSSSCT00000023483
ENSSSCG00000005392	MURC	ENSSSCT00000005935
ENSSSCG00000030046	MTMR12	ENSSSCT00000032586
ENSSSCG00000017696	C17orf78	ENSSSCT00000019261
ENSSSCG00000015939	NAN	ENSSSCT00000017355
ENSSSCG00000017823	NAN	ENSSSCT00000019398
ENSSSCG00000011329	CCDC12	ENSSSCT00000012405,ENSSSCT00000025127
ENSSSCG00000003866	BTF3L4	ENSSSCT00000004278
ENSSSCG00000009975	EMID1	ENSSSCT00000010931
ENSSSCG00000027498	USP14	ENSSSCT00000025797
ENSSSCG00000017447	NAN	ENSSSCT00000018993
ENSSSCG00000002470	NAN	ENSSSCT00000002742
ENSSSCG00000020847	NAN	ENSSSCT00000022262
ENSSSCG00000029602	NAN	ENSSSCT00000029839
ENSSSCG00000015328	SGCE	ENSSSCT00000016701
ENSSSCG00000025511	NAN	ENSSSCT00000029490
ENSSSCG00000021550	NAN	ENSSSCT00000027458
ENSSSCG00000001294	NAN	ENSSSCT00000001409
ENSSSCG00000002008	DCAF11	ENSSSCT00000002247
ENSSSCG00000030776	CH242-9E10.1	ENSSSCT00000032696,ENSSSCT00000033065
ENSSSCG00000030426	C9orf78	ENSSSCT00000024953
ENSSSCG00000013344	ANO5	ENSSSCT00000014572,ENSSSCT00000028769
ENSSSCG00000004132	NAN	ENSSSCT00000004567
ENSSSCG00000012912	TBC1D10C	ENSSSCT00000014115
ENSSSCG00000010609	CFAP43	ENSSSCT00000011605,ENSSSCT00000023381
ENSSSCG00000016183	NAN	ENSSSCT00000017621
ENSSSCG00000011034	ST8SIA6	ENSSSCT00000012077
ENSSSCG00000025703	NAN	ENSSSCT00000026193
ENSSSCG00000016283	NAN	ENSSSCT00000017731
ENSSSCG00000017376	MEOX1	ENSSSCT00000018915
ENSSSCG00000013300	EHF	ENSSSCT00000014526
ENSSSCG00000017461	KRT28	ENSSSCT00000019009
ENSSSCG00000012509	ARMCX3	ENSSSCT00000034007,ENSSSCT00000034399,ENSSSCT00000033251,ENSSSCT00000034529,ENSSSCT00000034664,ENSSSCT00000013678
ENSSSCG00000002287	MPP5	ENSSSCT00000002548
ENSSSCG00000005743	VAV2	ENSSSCT00000006315
ENSSSCG00000000093	DNAL4	ENSSSCT00000000099
ENSSSCG00000016605	LMOD2	ENSSSCT00000018078
ENSSSCG00000012311	NAN	ENSSSCT00000013462
ENSSSCG00000012196	NAN	ENSSSCT00000013341
ENSSSCG00000014934	CHORDC1	ENSSSCT00000016291
ENSSSCG00000014108	NAN	ENSSSCT00000015410
ENSSSCG00000025599	NAN	ENSSSCT00000031042
ENSSSCG00000002055	NAN	ENSSSCT00000002298
ENSSSCG00000008029	BAIAP3	ENSSSCT00000008798
ENSSSCG00000015020	BTG4	ENSSSCT00000016384
ENSSSCG00000014811	INPPL1	ENSSSCT00000016162
ENSSSCG00000010684	RGS10	ENSSSCT00000011685
ENSSSCG00000028369	RPL18	ENSSSCT00000028278
ENSSSCG00000026035	NAN	ENSSSCT00000030168
ENSSSCG00000023764	NAN	ENSSSCT00000008154
ENSSSCG00000021062	NAN	ENSSSCT00000026478
ENSSSCG00000020671	NAN	ENSSSCT00000022893
ENSSSCG00000009267	CSN3	ENSSSCT00000010148
ENSSSCG00000022459	NAN	ENSSSCT00000024238
ENSSSCG00000027734	TNRC6C	ENSSSCT00000026949,ENSSSCT00000025059
ENSSSCG00000017808	NAN	ENSSSCT00000019381
ENSSSCG00000016520	CREB3L2	ENSSSCT00000017988
ENSSSCG00000013619	SWSAP1	ENSSSCT00000014874
ENSSSCG00000027082	NAN	ENSSSCT00000006090
ENSSSCG00000026318	NAN	ENSSSCT00000030872
ENSSSCG00000020668	WDR59	ENSSSCT00000028190
ENSSSCG00000011553	NAN	ENSSSCT00000012643
ENSSSCG00000014016	SQSTM1	ENSSSCT00000015311
ENSSSCG00000009432	NAN	ENSSSCT00000010339
ENSSSCG00000002876	UBA2	ENSSSCT00000003178
ENSSSCG00000012878	IGHMBP2	ENSSSCT00000014076
ENSSSCG00000014651	NAN	ENSSSCT00000016002
ENSSSCG00000000509	NAN	ENSSSCT00000000548
ENSSSCG00000016245	NAN	ENSSSCT00000026444,ENSSSCT00000017689
ENSSSCG00000021129	PFKM	ENSSSCT00000029955
ENSSSCG00000020657	BCAM	ENSSSCT00000035920,ENSSSCT00000036457,ENSSSCT00000028783
ENSSSCG00000012335	FGD1	ENSSSCT00000013489,ENSSSCT00000034095
ENSSSCG00000029205	NAN	ENSSSCT00000025261,ENSSSCT00000027429
ENSSSCG00000010392	CHAT	ENSSSCT00000011376
ENSSSCG00000013305	CAPRIN1	ENSSSCT00000014531
ENSSSCG00000005934	TRAPPC9	ENSSSCT00000034449,ENSSSCT00000026494,ENSSSCT00000006515,ENSSSCT00000006514,ENSSSCT00000036099,ENSSSCT00000032645,ENSSSCT00000036449,ENSSSCT00000033394
ENSSSCG00000017127	C17orf62	ENSSSCT00000018645
ENSSSCG00000012607	TMEM255A	ENSSSCT00000033427,ENSSSCT00000013786,ENSSSCT00000036257,ENSSSCT00000032841,ENSSSCT00000035534,ENSSSCT00000036041,ENSSSCT00000034306,ENSSSCT00000035445,ENSSSCT00000032753
ENSSSCG00000014823	P2RY6	ENSSSCT00000016175
ENSSSCG00000017630	EPX	ENSSSCT00000033358,ENSSSCT00000019192
ENSSSCG00000008501	VIT	ENSSSCT00000009303
ENSSSCG00000008952	RASSF6	ENSSSCT00000009806
ENSSSCG00000015598	TMEM206	ENSSSCT00000016991
ENSSSCG00000011785	NAN	ENSSSCT00000012897
ENSSSCG00000028435	NAN	ENSSSCT00000031667
ENSSSCG00000003539	GRHL3	ENSSSCT00000003931
ENSSSCG00000021428	NAN	ENSSSCT00000029364
ENSSSCG00000015435	NAMPT	ENSSSCT00000016815
ENSSSCG00000005981	FBXO32	ENSSSCT00000006564
ENSSSCG00000022636	NAN	ENSSSCT00000027035
ENSSSCG00000024775	HIST2H2AB	ENSSSCT00000007306
ENSSSCG00000002251	NAN	ENSSSCT00000002507
ENSSSCG00000017788	TP53I13	ENSSSCT00000019360
ENSSSCG00000014178	NAN	ENSSSCT00000015490
ENSSSCG00000026515	NAN	ENSSSCT00000001878
ENSSSCG00000024438	TCEA3	ENSSSCT00000032136
ENSSSCG00000023524	IFN-ALPHA-10	ENSSSCT00000025148
ENSSSCG00000005765	NAN	ENSSSCT00000006341
ENSSSCG00000010068	NAN	ENSSSCT00000011029
ENSSSCG00000023198	NAN	ENSSSCT00000024984
ENSSSCG00000003039	NAN	ENSSSCT00000003376
ENSSSCG00000004603	RFX7	ENSSSCT00000005084
ENSSSCG00000003969	GUCA2A	ENSSSCT00000004390
ENSSSCG00000022348	NAN	ENSSSCT00000028352
ENSSSCG00000004134	PEX3	ENSSSCT00000004569
ENSSSCG00000013745	FARSA	ENSSSCT00000015019
ENSSSCG00000026650	NAN	ENSSSCT00000023741
ENSSSCG00000011438	BAP1	ENSSSCT00000012518
ENSSSCG00000009890	MAPKAPK5	ENSSSCT00000010840
ENSSSCG00000007487	PFDN4	ENSSSCT00000008196
ENSSSCG00000003356	MMEL1	ENSSSCT00000003725
ENSSSCG00000008823	SLC10A4	ENSSSCT00000009653
ENSSSCG00000030636	VPS13C	ENSSSCT00000031810
ENSSSCG00000016464	CASP2	ENSSSCT00000017927
ENSSSCG00000013404	ZBED5	ENSSSCT00000014644
ENSSSCG00000008564	CIB4	ENSSSCT00000009370
ENSSSCG00000029643	DDX47	ENSSSCT00000025539
ENSSSCG00000008013	IGFALS	ENSSSCT00000008781
ENSSSCG00000011533	NAN	ENSSSCT00000012623
ENSSSCG00000006193	TRAM1	ENSSSCT00000006787
ENSSSCG00000017843	NAN	ENSSSCT00000019419
ENSSSCG00000008242	KCMF1	ENSSSCT00000009026
ENSSSCG00000000371	NAN	ENSSSCT00000000394
ENSSSCG00000003069	KCNN4	ENSSSCT00000003406
ENSSSCG00000015600	DTL	ENSSSCT00000016993
ENSSSCG00000006384	NHLH1	ENSSSCT00000006997
ENSSSCG00000001829	NAN	ENSSSCT00000002049
ENSSSCG00000029043	NAN	ENSSSCT00000023761
ENSSSCG00000022303	SLC25A16	ENSSSCT00000026289,ENSSSCT00000033713,ENSSSCT00000032644,ENSSSCT00000032761
ENSSSCG00000011309	KIF15	ENSSSCT00000012380
ENSSSCG00000027726	DLL1	ENSSSCT00000024788
ENSSSCG00000026438	NAN	ENSSSCT00000023690
ENSSSCG00000011787	MAGEF1	ENSSSCT00000012899
ENSSSCG00000000843	TXNRD1	ENSSSCT00000000917
ENSSSCG00000016990	ATP6V0E1	ENSSSCT00000018500
ENSSSCG00000012000	NAN	ENSSSCT00000013131
ENSSSCG00000002352	ZNF410	ENSSSCT00000002616
ENSSSCG00000010559	NAN	ENSSSCT00000011551
ENSSSCG00000029040	NAN	ENSSSCT00000029243
ENSSSCG00000011102	NRP1	ENSSSCT00000033235,ENSSSCT00000035993,ENSSSCT00000034108,ENSSSCT00000012149,ENSSSCT00000034324,ENSSSCT00000035186,ENSSSCT00000033657
ENSSSCG00000004875	CYB5A	ENSSSCT00000005381
ENSSSCG00000009241	COPS4	ENSSSCT00000010121
ENSSSCG00000024472	NAN	ENSSSCT00000030770
ENSSSCG00000028274	FAM131B	ENSSSCT00000031482
ENSSSCG00000000139	IFT27	ENSSSCT00000000145
ENSSSCG00000006199	PREX2	ENSSSCT00000006794
ENSSSCG00000016540	NAN	ENSSSCT00000018010
ENSSSCG00000028182	NAN	ENSSSCT00000032012
ENSSSCG00000000074	MCHR1	ENSSSCT00000000080
ENSSSCG00000000437	NAN	ENSSSCT00000000472
ENSSSCG00000006852	NTNG1	ENSSSCT00000035715,ENSSSCT00000007505,ENSSSCT00000022367,ENSSSCT00000035789,ENSSSCT00000033143,ENSSSCT00000034022,ENSSSCT00000033782
ENSSSCG00000023891	GRM7	ENSSSCT00000031304
ENSSSCG00000010653	TRUB1	ENSSSCT00000011652
ENSSSCG00000016032	TFPI	ENSSSCT00000017457
ENSSSCG00000010373	ZNF488	ENSSSCT00000011355
ENSSSCG00000022238	OR52H1	ENSSSCT00000016027
ENSSSCG00000025548	NAN	ENSSSCT00000027248
ENSSSCG00000029010	NAN	ENSSSCT00000030843
ENSSSCG00000007577	AP5Z1	ENSSSCT00000008316
ENSSSCG00000011956	TRMT10C	ENSSSCT00000013082
ENSSSCG00000020957	NAN	ENSSSCT00000032214
ENSSSCG00000025199	NAN	ENSSSCT00000001110
ENSSSCG00000012450	FAM46D	ENSSSCT00000013616
ENSSSCG00000025118	NAN	ENSSSCT00000026247
ENSSSCG00000004207	LAMA2	ENSSSCT00000004648
ENSSSCG00000022051	NAN	ENSSSCT00000026806
ENSSSCG00000021007	MRPL19	ENSSSCT00000023158
ENSSSCG00000001401	ATP6V1G2	ENSSSCT00000001530,ENSSSCT00000035387
ENSSSCG00000014359	PSD2	ENSSSCT00000015688
ENSSSCG00000016503	NAN	ENSSSCT00000017967
ENSSSCG00000030201	NAN	ENSSSCT00000029814
ENSSSCG00000004045	MAS1	ENSSSCT00000004473
ENSSSCG00000001592	KCNK17	ENSSSCT00000001772
ENSSSCG00000013330	KCNA4	ENSSSCT00000014557
ENSSSCG00000002437	RPS6KA5	ENSSSCT00000002707
ENSSSCG00000027403	AASDH	ENSSSCT00000024804
ENSSSCG00000008698	RGS12	ENSSSCT00000009516
ENSSSCG00000024984	NAN	ENSSSCT00000026688
ENSSSCG00000001761	IDH3A	ENSSSCT00000001968
ENSSSCG00000005452	C9orf152	ENSSSCT00000005997
ENSSSCG00000024123	CDC26	ENSSSCT00000024664
ENSSSCG00000021430	NAN	ENSSSCT00000022498
ENSSSCG00000012434	NAN	ENSSSCT00000013595,ENSSSCT00000036604,ENSSSCT00000033359,ENSSSCT00000034099,ENSSSCT00000034791,ENSSSCT00000036526,ENSSSCT00000034747,ENSSSCT00000013596
ENSSSCG00000017169	SEC14L1	ENSSSCT00000018693
ENSSSCG00000008151	MFSD9	ENSSSCT00000008928
ENSSSCG00000016212	ANKZF1	ENSSSCT00000017653
ENSSSCG00000008962	EREG	ENSSSCT00000009817
ENSSSCG00000006202	CSPP1	ENSSSCT00000029434,ENSSSCT00000006797
ENSSSCG00000028793	NAN	ENSSSCT00000028053
ENSSSCG00000020763	NAN	ENSSSCT00000030826
ENSSSCG00000027913	NAN	ENSSSCT00000024342
ENSSSCG00000004986	TRAPPC6B	ENSSSCT00000005500
ENSSSCG00000005904	VPS28	ENSSSCT00000032690,ENSSSCT00000006484,ENSSSCT00000036558,ENSSSCT00000036001
ENSSSCG00000000299	TESPA1	ENSSSCT00000000320
ENSSSCG00000025105	NAN	ENSSSCT00000029404
ENSSSCG00000007567	CHST12	ENSSSCT00000008301
ENSSSCG00000012760	NAN	ENSSSCT00000013950
ENSSSCG00000028246	NAN	ENSSSCT00000030034
ENSSSCG00000014635	OR52B2	ENSSSCT00000015986
ENSSSCG00000027357	CSTB	ENSSSCT00000023178
ENSSSCG00000028673	NAN	ENSSSCT00000029948
ENSSSCG00000005742	DBH	ENSSSCT00000006313
ENSSSCG00000015316	NAN	ENSSSCT00000016689
ENSSSCG00000020785	DES	ENSSSCT00000030104
ENSSSCG00000008051	NAN	ENSSSCT00000008823
ENSSSCG00000016957	CD180	ENSSSCT00000018466
ENSSSCG00000005853	NOXA1	ENSSSCT00000006432
ENSSSCG00000001986	NFATC4	ENSSSCT00000002222
ENSSSCG00000026980	IFN-ALPHA-14	ENSSSCT00000031536,ENSSSCT00000036475
ENSSSCG00000025634	NAN	ENSSSCT00000024245
ENSSSCG00000006344	NAN	ENSSSCT00000006952
ENSSSCG00000009605	GFRA2	ENSSSCT00000010528
ENSSSCG00000015603	LPGAT1	ENSSSCT00000016996
ENSSSCG00000010768	NAN	ENSSSCT00000011782
ENSSSCG00000028060	SLC4A8	ENSSSCT00000024631
ENSSSCG00000030920	SLC39A7	ENSSSCT00000036497,ENSSSCT00000036035,ENSSSCT00000033470
ENSSSCG00000014602	OR10A4	ENSSSCT00000015952
ENSSSCG00000015441	NAN	ENSSSCT00000016822
ENSSSCG00000015331	NAN	ENSSSCT00000016704
ENSSSCG00000026940	CASP10	ENSSSCT00000025501
ENSSSCG00000022502	NAN	ENSSSCT00000024128
ENSSSCG00000007112	PAX1	ENSSSCT00000007784
ENSSSCG00000014919	ME3	ENSSSCT00000016275
ENSSSCG00000005540	NAN	ENSSSCT00000006091
ENSSSCG00000024890	NAN	ENSSSCT00000006446
ENSSSCG00000026226	NAN	ENSSSCT00000023707,ENSSSCT00000031173
ENSSSCG00000002378	MLH3	ENSSSCT00000002644
ENSSSCG00000011001	APTX	ENSSSCT00000012043
ENSSSCG00000030594	NAN	ENSSSCT00000018438
ENSSSCG00000026505	NAN	ENSSSCT00000028666
ENSSSCG00000026598	NAN	ENSSSCT00000015272
ENSSSCG00000031047	CH242-363D24.1	ENSSSCT00000034160
ENSSSCG00000006824	GNAI3	ENSSSCT00000007475
ENSSSCG00000005893	ZNF34	ENSSSCT00000006472
ENSSSCG00000009240	PLAC8	ENSSSCT00000010120
ENSSSCG00000008371	OTX1	ENSSSCT00000009166
ENSSSCG00000013737	RNASEH2A	ENSSSCT00000015011
ENSSSCG00000029999	C2orf49	ENSSSCT00000023410
ENSSSCG00000000453	XRCC6BP1	ENSSSCT00000000489
ENSSSCG00000000757	ADIPOR2	ENSSSCT00000000821
ENSSSCG00000002952	YIF1B	ENSSSCT00000003274
ENSSSCG00000013714	NAN	ENSSSCT00000022428,ENSSSCT00000014979
ENSSSCG00000027629	CDIPT	ENSSSCT00000029641
ENSSSCG00000006481	GPATCH4	ENSSSCT00000007099
ENSSSCG00000009827	HVCN1	ENSSSCT00000010770
ENSSSCG00000012257	MAOA	ENSSSCT00000013404,ENSSSCT00000035258,ENSSSCT00000032764,ENSSSCT00000033354
ENSSSCG00000009303	NAN	ENSSSCT00000010191
ENSSSCG00000025755	NAN	ENSSSCT00000023882
ENSSSCG00000016078	HSPE1	ENSSSCT00000017506
ENSSSCG00000003153	FTL	ENSSSCT00000003500
ENSSSCG00000022397	NAN	ENSSSCT00000007577
ENSSSCG00000003189	PRMT1	ENSSSCT00000003544
ENSSSCG00000027025	NAN	ENSSSCT00000028785
ENSSSCG00000009356	RFXAP	ENSSSCT00000010253
ENSSSCG00000003141	FUT1	ENSSSCT00000003483
ENSSSCG00000008592	NAN	ENSSSCT00000009403
ENSSSCG00000014844	NAN	ENSSSCT00000016196
ENSSSCG00000014898	DDIAS	ENSSSCT00000016253
ENSSSCG00000010198	NAN	ENSSSCT00000011164
ENSSSCG00000023030	NAN	ENSSSCT00000031025
ENSSSCG00000009798	B3GNT4	ENSSSCT00000030522,ENSSSCT00000010740
ENSSSCG00000001569	C6orf89	ENSSSCT00000001748
ENSSSCG00000009875	CFAP73	ENSSSCT00000010823
ENSSSCG00000003065	PLAUR	ENSSSCT00000035015,ENSSSCT00000003402,ENSSSCT00000036656
ENSSSCG00000013645	ATG4D	ENSSSCT00000014905
ENSSSCG00000009060	MAML3	ENSSSCT00000009924
ENSSSCG00000021987	NAN	ENSSSCT00000024959
ENSSSCG00000009508	CISD1	ENSSSCT00000010425
ENSSSCG00000026627	NAN	ENSSSCT00000024789
ENSSSCG00000007324	SOGA1	ENSSSCT00000008014
ENSSSCG00000017331	SPATA32	ENSSSCT00000018867
ENSSSCG00000009390	SPRYD7	ENSSSCT00000010289
ENSSSCG00000013385	INSC	ENSSSCT00000014620
ENSSSCG00000006624	SELENBP1	ENSSSCT00000007258
ENSSSCG00000026971	NAN	ENSSSCT00000031502
ENSSSCG00000014834	UCP3	ENSSSCT00000016186
ENSSSCG00000005706	ABL1	ENSSSCT00000006275
ENSSSCG00000001229	TMP-CH242-74M17.2	ENSSSCT00000001330,ENSSSCT00000001329
ENSSSCG00000030054	PSMD5	ENSSSCT00000022255
ENSSSCG00000009944	NAN	ENSSSCT00000010896
ENSSSCG00000028926	CALML6	ENSSSCT00000023861
ENSSSCG00000015594	BATF3	ENSSSCT00000016987
ENSSSCG00000026242	NAN	ENSSSCT00000026960,ENSSSCT00000026845,ENSSSCT00000031078
ENSSSCG00000023904	CFAP57	ENSSSCT00000031026
ENSSSCG00000011701	NAN	ENSSSCT00000012810,ENSSSCT00000012811
ENSSSCG00000013559	NAN	ENSSSCT00000014809,ENSSSCT00000025108
ENSSSCG00000030060	NAN	ENSSSCT00000030811
ENSSSCG00000020705	MAP3K8	ENSSSCT00000034425,ENSSSCT00000031295,ENSSSCT00000033274,ENSSSCT00000033487,ENSSSCT00000033089,ENSSSCT00000036651
ENSSSCG00000002600	NAN	ENSSSCT00000002887
ENSSSCG00000006519	CLK2	ENSSSCT00000007139
ENSSSCG00000007083	PCSK2	ENSSSCT00000007755
ENSSSCG00000026159	NAN	ENSSSCT00000024270
ENSSSCG00000013810	NAN	ENSSSCT00000015088
