ENSOCUG00000017200	PDZD4	ENSOCUT00000017201
ENSOCUG00000006773	NAN	ENSOCUT00000006771
ENSOCUG00000012211	NAN	ENSOCUT00000012208
ENSOCUG00000001211	NAN	ENSOCUT00000001210
ENSOCUG00000023154	NAN	ENSOCUT00000020966
ENSOCUG00000006457	FAM214B	ENSOCUT00000006455
ENSOCUG00000014799	MAPK13	ENSOCUT00000021244
ENSOCUG00000006825	BRMS1L	ENSOCUT00000006825
ENSOCUG00000017409	WIPI1	ENSOCUT00000017410
ENSOCUG00000024754	GNAT3	ENSOCUT00000025883
ENSOCUG00000016711	KIAA1958	ENSOCUT00000021907,ENSOCUT00000016709
ENSOCUG00000002023	NAN	ENSOCUT00000002022
ENSOCUG00000016663	NAN	ENSOCUT00000016663
ENSOCUG00000004299	SLF1	ENSOCUT00000004301
ENSOCUG00000012219	TMEM211	ENSOCUT00000012215
ENSOCUG00000005503	SPDL1	ENSOCUT00000005504
ENSOCUG00000013618	PHKG1	ENSOCUT00000013615
ENSOCUG00000003485	C11orf80	ENSOCUT00000003484
ENSOCUG00000012731	NAN	ENSOCUT00000012731
ENSOCUG00000011069	NDUFB3	ENSOCUT00000011067
ENSOCUG00000010579	ABAT	ENSOCUT00000010580
ENSOCUG00000025078	NAN	ENSOCUT00000027898
ENSOCUG00000005536	RPS13	ENSOCUT00000005534
ENSOCUG00000013417	NAMPT	ENSOCUT00000013422
ENSOCUG00000003688	CPPED1	ENSOCUT00000003685
ENSOCUG00000007894	PEX13	ENSOCUT00000007887
ENSOCUG00000000766	OR4Q2	ENSOCUT00000000765
ENSOCUG00000026813	NAN	ENSOCUT00000026804
ENSOCUG00000024354	NAN	ENSOCUT00000025772
ENSOCUG00000024901	NAN	ENSOCUT00000030885
ENSOCUG00000004074	ACTC1	ENSOCUT00000007566
ENSOCUG00000012912	SYNGR1	ENSOCUT00000012909
ENSOCUG00000013267	NKIRAS2	ENSOCUT00000013263
ENSOCUG00000003325	SOWAHC	ENSOCUT00000003321
ENSOCUG00000024320	SAE1	ENSOCUT00000030581
ENSOCUG00000009825	BPHL	ENSOCUT00000009822
ENSOCUG00000011000	GAS7	ENSOCUT00000011000
ENSOCUG00000009723	BAAT	ENSOCUT00000009721
ENSOCUG00000012624	UROC1	ENSOCUT00000012628
ENSOCUG00000016924	NAN	ENSOCUT00000016922,ENSOCUT00000028967
ENSOCUG00000014859	RERE	ENSOCUT00000014870
ENSOCUG00000002638	COMMD2	ENSOCUT00000002636
ENSOCUG00000024412	NAN	ENSOCUT00000026820
ENSOCUG00000007327	CNTNAP1	ENSOCUT00000034034,ENSOCUT00000007332
ENSOCUG00000002242	CEP72	ENSOCUT00000002242
ENSOCUG00000008164	ABCC2	ENSOCUT00000008176
ENSOCUG00000007306	PARP16	ENSOCUT00000007304
ENSOCUG00000011526	AADAT	ENSOCUT00000033155,ENSOCUT00000011528
ENSOCUG00000010522	BBS10	ENSOCUT00000010523
ENSOCUG00000015273	NAN	ENSOCUT00000015266
ENSOCUG00000009999	KIAA1522	ENSOCUT00000010002
ENSOCUG00000016562	MED31	ENSOCUT00000016562
ENSOCUG00000000540	KCNIP1	ENSOCUT00000000541,ENSOCUT00000031693
ENSOCUG00000023158	NAN	ENSOCUT00000021667
ENSOCUG00000027663	H2AFJ	ENSOCUT00000027403
ENSOCUG00000029488	NAN	ENSOCUT00000021963
ENSOCUG00000012779	GPR137B	ENSOCUT00000012777
ENSOCUG00000012983	NXPH1	ENSOCUT00000012981
ENSOCUG00000000251	ZC3H11A	ENSOCUT00000000252
ENSOCUG00000015843	MCAT	ENSOCUT00000023770
ENSOCUG00000003444	HECTD3	ENSOCUT00000003446
ENSOCUG00000010281	DCAF5	ENSOCUT00000010289
ENSOCUG00000017401	DNAJB12	ENSOCUT00000017400
ENSOCUG00000023806	CHCHD4	ENSOCUT00000029754
ENSOCUG00000014978	OXGR1	ENSOCUT00000014970
ENSOCUG00000029365	NAN	ENSOCUT00000033176
ENSOCUG00000008219	POC1B	ENSOCUT00000008217
ENSOCUG00000017901	CASS4	ENSOCUT00000017900
ENSOCUG00000017377	MATN2	ENSOCUT00000017381
ENSOCUG00000007525	C3orf30	ENSOCUT00000007525
ENSOCUG00000023530	NAN	ENSOCUT00000020999
ENSOCUG00000008444	UBFD1	ENSOCUT00000008448,ENSOCUT00000034136
ENSOCUG00000002887	FRMD4B	ENSOCUT00000002891
ENSOCUG00000005834	WDR83	ENSOCUT00000005834
ENSOCUG00000014777	PADI2	ENSOCUT00000014777
ENSOCUG00000007424	PCYT1B	ENSOCUT00000007424
ENSOCUG00000001909	AMER3	ENSOCUT00000001909
ENSOCUG00000009092	PSMA8	ENSOCUT00000009090
ENSOCUG00000022761	IL3RA	ENSOCUT00000028791
ENSOCUG00000022641	BORCS6	ENSOCUT00000025416
ENSOCUG00000009144	SLC1A5	ENSOCUT00000009143
ENSOCUG00000010672	NAN	ENSOCUT00000010670
ENSOCUG00000008818	CKB	ENSOCUT00000008819
ENSOCUG00000004433	SLC17A2	ENSOCUT00000004433
ENSOCUG00000003981	ANAPC15	ENSOCUT00000003981
ENSOCUG00000024682	NAN	ENSOCUT00000023177
ENSOCUG00000021447	NAN	ENSOCUT00000025940,ENSOCUT00000021331
ENSOCUG00000015291	PIGM	ENSOCUT00000015283
ENSOCUG00000026411	NAN	ENSOCUT00000028636
ENSOCUG00000005993	NAN	ENSOCUT00000005991
ENSOCUG00000011145	OBSL1	ENSOCUT00000029316
ENSOCUG00000022958	NAN	ENSOCUT00000022518
ENSOCUG00000016148	C6orf201	ENSOCUT00000016147
ENSOCUG00000005069	TMEM50B	ENSOCUT00000005065
ENSOCUG00000025033	KIAA0895L	ENSOCUT00000025369
ENSOCUG00000006261	PIWIL2	ENSOCUT00000006269
ENSOCUG00000023687	NAN	ENSOCUT00000024938
ENSOCUG00000017782	ACE2	ENSOCUT00000017784
ENSOCUG00000002826	CADPS	ENSOCUT00000002835
ENSOCUG00000000938	RNF26	ENSOCUT00000000938
ENSOCUG00000007586	SPAG17	ENSOCUT00000007596
ENSOCUG00000001055	TCHP	ENSOCUT00000001055
ENSOCUG00000013777	UNC45A	ENSOCUT00000013784
ENSOCUG00000022102	NAN	ENSOCUT00000026952
ENSOCUG00000000764	CMTM6	ENSOCUT00000000763
ENSOCUG00000001793	GFI1B	ENSOCUT00000001794
ENSOCUG00000001953	SUSD3	ENSOCUT00000001956
ENSOCUG00000009491	TAF6L	ENSOCUT00000026454,ENSOCUT00000009491
ENSOCUG00000012561	NAN	ENSOCUT00000012565
ENSOCUG00000015292	NEDD9	ENSOCUT00000015288
ENSOCUG00000008004	PDHX	ENSOCUT00000008005
ENSOCUG00000004841	DKK3	ENSOCUT00000004838
ENSOCUG00000007465	EXOSC8	ENSOCUT00000007465
ENSOCUG00000009559	KIAA1841	ENSOCUT00000009564
ENSOCUG00000022276	NAN	ENSOCUT00000022932
ENSOCUG00000008683	TRIM69	ENSOCUT00000008680
ENSOCUG00000016228	MANSC4	ENSOCUT00000016216
ENSOCUG00000026520	C5orf49	ENSOCUT00000027222
ENSOCUG00000007641	CCDC157	ENSOCUT00000007640
ENSOCUG00000009765	C17orf47	ENSOCUT00000009764
ENSOCUG00000029723	NAN	ENSOCUT00000033859
ENSOCUG00000001005	NUP214	ENSOCUT00000001006
ENSOCUG00000020957	NAN	ENSOCUT00000026099
ENSOCUG00000026588	NAN	ENSOCUT00000025431
ENSOCUG00000006998	C11orf74	ENSOCUT00000006998
ENSOCUG00000028079	ORYCUNV1R1621	ENSOCUT00000030977
ENSOCUG00000011043	EXOC3	ENSOCUT00000011043
ENSOCUG00000008448	ARL15	ENSOCUT00000008446
ENSOCUG00000007732	PPARD	ENSOCUT00000007730
ENSOCUG00000010133	VEPH1	ENSOCUT00000010132
ENSOCUG00000015499	LDB2	ENSOCUT00000033405,ENSOCUT00000015498
ENSOCUG00000000731	KAT6A	ENSOCUT00000000733
ENSOCUG00000011881	RGS7	ENSOCUT00000011883
ENSOCUG00000026923	C4orf27	ENSOCUT00000023053
ENSOCUG00000007153	CPNE6	ENSOCUT00000007152
ENSOCUG00000024314	CDC42SE1	ENSOCUT00000031311
ENSOCUG00000008791	SNAPC5	ENSOCUT00000008785
ENSOCUG00000003319	HLA-DPA1	ENSOCUT00000003316
ENSOCUG00000021131	SMUG1	ENSOCUT00000022984,ENSOCUT00000028655
ENSOCUG00000010894	SRSF1	ENSOCUT00000010889
ENSOCUG00000008161	RCL1	ENSOCUT00000008161
ENSOCUG00000027682	KCTD2	ENSOCUT00000027942
ENSOCUG00000009342	THAP11	ENSOCUT00000009341
ENSOCUG00000004470	DCAF6	ENSOCUT00000004477
ENSOCUG00000014510	YIPF6	ENSOCUT00000014512
ENSOCUG00000000218	OTUD6B	ENSOCUT00000000218
ENSOCUG00000013206	NAN	ENSOCUT00000013202
ENSOCUG00000009775	TEX14	ENSOCUT00000009780
ENSOCUG00000001172	CCDC138	ENSOCUT00000030327,ENSOCUT00000001172
ENSOCUG00000003765	NAN	ENSOCUT00000003763
ENSOCUG00000004073	TWIST2	ENSOCUT00000004069
ENSOCUG00000010046	TK1	ENSOCUT00000010039
ENSOCUG00000029371	NAN	ENSOCUT00000034009
ENSOCUG00000015803	TINAG	ENSOCUT00000015801
ENSOCUG00000014779	FBXO36	ENSOCUT00000014773
ENSOCUG00000017865	CAMK2A	ENSOCUT00000017865
ENSOCUG00000008559	SYNJ2BP-COX16	ENSOCUT00000008553,ENSOCUT00000028449
ENSOCUG00000012125	SERTM1	ENSOCUT00000012123
ENSOCUG00000015665	NTN4	ENSOCUT00000015665
ENSOCUG00000022176	ORYCUNV1R1565	ENSOCUT00000030698
ENSOCUG00000006343	KLF9	ENSOCUT00000006342
ENSOCUG00000025080	ASNA1	ENSOCUT00000030656
ENSOCUG00000003592	ATN1	ENSOCUT00000003593,ENSOCUT00000023247
ENSOCUG00000022158	ORYCUNV1R1656	ENSOCUT00000031377
ENSOCUG00000006973	ADGRE2	ENSOCUT00000033687,ENSOCUT00000006974
ENSOCUG00000010621	BTK	ENSOCUT00000010622
ENSOCUG00000021848	NAN	ENSOCUT00000029395
ENSOCUG00000012438	NBEAL2	ENSOCUT00000012451
ENSOCUG00000016796	NAN	ENSOCUT00000016793
ENSOCUG00000025689	ZCCHC5	ENSOCUT00000026232
ENSOCUG00000008743	NMNAT2	ENSOCUT00000008741
ENSOCUG00000026837	CACNG2	ENSOCUT00000027502
ENSOCUG00000004865	ARMCX3	ENSOCUT00000004861
ENSOCUG00000003089	PRG3	ENSOCUT00000003090
ENSOCUG00000002947	SOST	ENSOCUT00000002944
ENSOCUG00000001116	TMEM187	ENSOCUT00000001115
ENSOCUG00000010208	DNAJC2	ENSOCUT00000010206
ENSOCUG00000025540	NFYC	ENSOCUT00000028045
ENSOCUG00000002628	SDF2L1	ENSOCUT00000026669,ENSOCUT00000002627
ENSOCUG00000026747	KHSRP	ENSOCUT00000028821
ENSOCUG00000021509	CCDC102A	ENSOCUT00000024866
ENSOCUG00000014021	SLC17A1	ENSOCUT00000014018
ENSOCUG00000029281	NAN	ENSOCUT00000033302
ENSOCUG00000010718	TIMP1	ENSOCUT00000010716
ENSOCUG00000024034	NAN	ENSOCUT00000030901
ENSOCUG00000013611	ZNF512	ENSOCUT00000013617
ENSOCUG00000000848	SUPT6H	ENSOCUT00000000849
ENSOCUG00000015008	SLC25A40	ENSOCUT00000015006
ENSOCUG00000029464	NAN	ENSOCUT00000033770
ENSOCUG00000022110	TCEAL7	ENSOCUT00000023011
ENSOCUG00000013532	KCNK9	ENSOCUT00000013529
ENSOCUG00000007470	ZBTB16	ENSOCUT00000007468
ENSOCUG00000016730	CXorf56	ENSOCUT00000023877
ENSOCUG00000022161	SARDH	ENSOCUT00000029234
ENSOCUG00000026627	NAN	ENSOCUT00000024894
ENSOCUG00000014553	IMPDH2	ENSOCUT00000014549
ENSOCUG00000010569	ERBB2	ENSOCUT00000010577
ENSOCUG00000026956	GDF7	ENSOCUT00000023174
ENSOCUG00000003894	SV2A	ENSOCUT00000003896
ENSOCUG00000007208	MSC	ENSOCUT00000007204
ENSOCUG00000011146	NAN	ENSOCUT00000011145
ENSOCUG00000006602	PPID	ENSOCUT00000006602
ENSOCUG00000024047	ERCC1	ENSOCUT00000024255
ENSOCUG00000024002	NAN	ENSOCUT00000023775
ENSOCUG00000012048	OTULIN	ENSOCUT00000012044
ENSOCUG00000002937	ANKDD1B	ENSOCUT00000002936
ENSOCUG00000007654	KHDRBS1	ENSOCUT00000007654
ENSOCUG00000000384	DCC	ENSOCUT00000000387
ENSOCUG00000004011	C2CD3	ENSOCUT00000004016
ENSOCUG00000006936	NAN	ENSOCUT00000006935
ENSOCUG00000010429	OR6K2	ENSOCUT00000010427
ENSOCUG00000023693	NAN	ENSOCUT00000031605
ENSOCUG00000004600	RPS6KB1	ENSOCUT00000004600
ENSOCUG00000010719	WDR76	ENSOCUT00000010724
ENSOCUG00000015419	NAN	ENSOCUT00000015416
ENSOCUG00000024140	NAN	ENSOCUT00000022273
ENSOCUG00000027031	NAN	ENSOCUT00000022249
ENSOCUG00000014846	DPYSL5	ENSOCUT00000014841
ENSOCUG00000000813	TMEM262	ENSOCUT00000000813
ENSOCUG00000005004	ICMT	ENSOCUT00000005002
ENSOCUG00000023291	NAN	ENSOCUT00000021871
ENSOCUG00000000133	NFKBIZ	ENSOCUT00000000134
ENSOCUG00000022858	RAB27B	ENSOCUT00000025545
ENSOCUG00000013300	TRAPPC8	ENSOCUT00000013309
ENSOCUG00000006224	ALMS1	ENSOCUT00000006237
ENSOCUG00000017028	DNAJC5G	ENSOCUT00000017027
ENSOCUG00000014309	NPHP3	ENSOCUT00000014325
ENSOCUG00000013078	FAXDC2	ENSOCUT00000013076
ENSOCUG00000025339	NAN	ENSOCUT00000022265
ENSOCUG00000022170	NAN	ENSOCUT00000027020
ENSOCUG00000010179	TRAPPC11	ENSOCUT00000010185
ENSOCUG00000016320	ATP8B2	ENSOCUT00000016337
ENSOCUG00000022697	ORYCUNV1R1529	ENSOCUT00000027888
ENSOCUG00000010740	TARSL2	ENSOCUT00000010740
ENSOCUG00000024532	NAN	ENSOCUT00000004918
ENSOCUG00000003732	RORB	ENSOCUT00000031188
ENSOCUG00000021704	PLEKHH3	ENSOCUT00000023344
ENSOCUG00000008704	SPATA6	ENSOCUT00000008707
ENSOCUG00000025687	NAN	ENSOCUT00000025912
ENSOCUG00000016602	ZMYM6	ENSOCUT00000029942
ENSOCUG00000005857	C9orf43	ENSOCUT00000021755,ENSOCUT00000005859
ENSOCUG00000015016	NAN	ENSOCUT00000015024
ENSOCUG00000009538	TSPAN16	ENSOCUT00000031083
ENSOCUG00000012516	LIN54	ENSOCUT00000012515
ENSOCUG00000023577	NAN	ENSOCUT00000026612
ENSOCUG00000015364	POLL	ENSOCUT00000015361
ENSOCUG00000005650	FRAT1	ENSOCUT00000005654
ENSOCUG00000015231	DCTN1	ENSOCUT00000015263
ENSOCUG00000027132	NACAD	ENSOCUT00000027143
ENSOCUG00000012391	PRPS1	ENSOCUT00000012388
ENSOCUG00000025864	NAN	ENSOCUT00000031158
ENSOCUG00000010968	DCTN6	ENSOCUT00000010964
ENSOCUG00000005714	GBF1	ENSOCUT00000005726
ENSOCUG00000022137	PEMT	ENSOCUT00000022347
ENSOCUG00000012312	CLEC4D	ENSOCUT00000012309
ENSOCUG00000006714	MMP2	ENSOCUT00000006713
ENSOCUG00000000445	BEX4	ENSOCUT00000000444
ENSOCUG00000013616	CNTRL	ENSOCUT00000013636
ENSOCUG00000005767	HMGCS2	ENSOCUT00000005765
ENSOCUG00000016755	NAN	ENSOCUT00000033374,ENSOCUT00000016754
ENSOCUG00000025196	NAN	ENSOCUT00000022493
ENSOCUG00000005494	NAN	ENSOCUT00000005493
ENSOCUG00000001454	NES	ENSOCUT00000001456
ENSOCUG00000001710	MCM4	ENSOCUT00000001710
ENSOCUG00000013274	FAM71F2	ENSOCUT00000025913
ENSOCUG00000024725	ORYCUNV1R1647	ENSOCUT00000021606
ENSOCUG00000017326	TUBGCP4	ENSOCUT00000017325
ENSOCUG00000022357	PDK2	ENSOCUT00000024838
ENSOCUG00000013030	TMEM101	ENSOCUT00000013027
ENSOCUG00000006115	LRIT1	ENSOCUT00000006114
ENSOCUG00000004773	H2AFY2	ENSOCUT00000004773
ENSOCUG00000011743	SLU7	ENSOCUT00000011747
ENSOCUG00000005082	QARS	ENSOCUT00000005088
ENSOCUG00000026351	ZBTB46	ENSOCUT00000028040
ENSOCUG00000001203	HIVEP3	ENSOCUT00000001203
ENSOCUG00000015810	TULP1	ENSOCUT00000015807
ENSOCUG00000015431	DOCK10	ENSOCUT00000015462
ENSOCUG00000007597	NAV2	ENSOCUT00000007605
ENSOCUG00000025336	PCBP4	ENSOCUT00000028826
ENSOCUG00000007160	C21orf62	ENSOCUT00000007160
ENSOCUG00000002949	CISD1	ENSOCUT00000002948
ENSOCUG00000011880	NAN	ENSOCUT00000011879
ENSOCUG00000013651	ZNF48	ENSOCUT00000013648
ENSOCUG00000027986	CALHM1	ENSOCUT00000027930,ENSOCUT00000029551
ENSOCUG00000026880	NAN	ENSOCUT00000027012
ENSOCUG00000009969	DUSP21	ENSOCUT00000009967
ENSOCUG00000003418	PARP14	ENSOCUT00000003423
ENSOCUG00000024690	KCTD8	ENSOCUT00000026412,ENSOCUT00000029793
ENSOCUG00000021672	NAN	ENSOCUT00000025376
ENSOCUG00000028160	ORYCUNV1R1562	ENSOCUT00000029009
ENSOCUG00000023963	ORYCUNV1R1540	ENSOCUT00000028300
ENSOCUG00000015899	CCDC146	ENSOCUT00000015906
ENSOCUG00000003157	DCBLD1	ENSOCUT00000003162
ENSOCUG00000011121	NAN	ENSOCUT00000011127,ENSOCUT00000017867,ENSOCUT00000001624
ENSOCUG00000029108	MT-ND4	ENSOCUT00000033133
ENSOCUG00000001028	MFSD2A	ENSOCUT00000001028,ENSOCUT00000027629
ENSOCUG00000014703	CHEK1	ENSOCUT00000014704
ENSOCUG00000025517	CLDN25	ENSOCUT00000022086
ENSOCUG00000008295	NAN	ENSOCUT00000008288
ENSOCUG00000002728	SLF2	ENSOCUT00000002730
ENSOCUG00000008760	MTX2	ENSOCUT00000008757
ENSOCUG00000017856	GPR15	ENSOCUT00000017856
ENSOCUG00000025055	NAN	ENSOCUT00000000842
ENSOCUG00000001886	KIAA0930	ENSOCUT00000001885
ENSOCUG00000017171	FGF21	ENSOCUT00000017167
ENSOCUG00000008145	NAN	ENSOCUT00000008143
ENSOCUG00000027416	PVALB	ENSOCUT00000026448
ENSOCUG00000023028	UBTF	ENSOCUT00000022436
ENSOCUG00000026735	NAN	ENSOCUT00000026026
ENSOCUG00000027597	ORYCUNV1R1646	ENSOCUT00000022508
ENSOCUG00000006251	EPHX2	ENSOCUT00000006252
ENSOCUG00000022182	SETD1A	ENSOCUT00000030495
ENSOCUG00000004970	NAN	ENSOCUT00000004973
ENSOCUG00000009709	MED24	ENSOCUT00000009717
ENSOCUG00000024893	OR13C7	ENSOCUT00000029203
ENSOCUG00000028148	PACS2	ENSOCUT00000023657
ENSOCUG00000024180	RCN3	ENSOCUT00000020921
ENSOCUG00000000348	GPLD1	ENSOCUT00000000352
ENSOCUG00000001578	CUL7	ENSOCUT00000001583
ENSOCUG00000016589	KRTAP15-1	ENSOCUT00000016583
ENSOCUG00000024594	NAN	ENSOCUT00000030900
ENSOCUG00000003783	TIAL1	ENSOCUT00000003783
ENSOCUG00000016237	BCL2L13	ENSOCUT00000016234
ENSOCUG00000009479	TTC9C	ENSOCUT00000009480
ENSOCUG00000015640	NAN	ENSOCUT00000015638
ENSOCUG00000017785	NAN	ENSOCUT00000017783
ENSOCUG00000029260	NAN	ENSOCUT00000033625
ENSOCUG00000021642	NUDT16L1	ENSOCUT00000030792
ENSOCUG00000008514	TBCK	ENSOCUT00000008521
ENSOCUG00000005986	NAN	ENSOCUT00000005986
ENSOCUG00000022095	NAN	ENSOCUT00000011408
ENSOCUG00000015331	GPRC5D	ENSOCUT00000015334
ENSOCUG00000029334	NAN	ENSOCUT00000029195
ENSOCUG00000025760	MEIS3	ENSOCUT00000021058
ENSOCUG00000017433	NAN	ENSOCUT00000017433
ENSOCUG00000021076	NAN	ENSOCUT00000022101
ENSOCUG00000027147	NAN	ENSOCUT00000022153
ENSOCUG00000029622	NAN	ENSOCUT00000033219
ENSOCUG00000002043	AIMP1	ENSOCUT00000026813
ENSOCUG00000016109	GABRA1	ENSOCUT00000016110
ENSOCUG00000021656	NAN	ENSOCUT00000027536
ENSOCUG00000013960	DMGDH	ENSOCUT00000013965
ENSOCUG00000013465	TBC1D19	ENSOCUT00000013468
ENSOCUG00000011287	NAN	ENSOCUT00000011287
ENSOCUG00000007106	RAE1	ENSOCUT00000007104
ENSOCUG00000006381	LY86	ENSOCUT00000006381
ENSOCUG00000006643	KCNK16	ENSOCUT00000006641
ENSOCUG00000010238	PIEZO2	ENSOCUT00000010249
ENSOCUG00000001957	UBL3	ENSOCUT00000001955
ENSOCUG00000015661	GRXCR2	ENSOCUT00000015656
ENSOCUG00000007386	clec1b	ENSOCUT00000007384
ENSOCUG00000026000	NAN	ENSOCUT00000028527
ENSOCUG00000027976	FGFRL1	ENSOCUT00000031500
ENSOCUG00000024152	NAN	ENSOCUT00000027254
ENSOCUG00000015522	NAN	ENSOCUT00000015529
ENSOCUG00000006239	CSMD3	ENSOCUT00000006257
ENSOCUG00000027916	FZD5	ENSOCUT00000026530
ENSOCUG00000012117	LTN1	ENSOCUT00000012122
ENSOCUG00000010499	NAN	ENSOCUT00000010499
ENSOCUG00000001661	PDIA4	ENSOCUT00000001661
ENSOCUG00000003664	TRMU	ENSOCUT00000021285
ENSOCUG00000006133	PLA2G6	ENSOCUT00000006137
ENSOCUG00000015399	LSM1	ENSOCUT00000015394
ENSOCUG00000023555	NAN	ENSOCUT00000024295
ENSOCUG00000013091	GLRX3	ENSOCUT00000013088
ENSOCUG00000027388	B3GNT8	ENSOCUT00000030809
ENSOCUG00000029694	NAN	ENSOCUT00000033359
ENSOCUG00000010159	FADS6	ENSOCUT00000010157
ENSOCUG00000024175	NAN	ENSOCUT00000030576
ENSOCUG00000003479	CD34	ENSOCUT00000003478
ENSOCUG00000025893	NAN	ENSOCUT00000023393
ENSOCUG00000004461	CDH9	ENSOCUT00000004461
ENSOCUG00000010978	SHPRH	ENSOCUT00000010983
ENSOCUG00000002145	NAN	ENSOCUT00000002144
ENSOCUG00000010213	UPF3B	ENSOCUT00000010210
ENSOCUG00000012310	MTA3	ENSOCUT00000012313
ENSOCUG00000029673	NAN	ENSOCUT00000033727
ENSOCUG00000001196	C11orf87	ENSOCUT00000001196
ENSOCUG00000025296	NAN	ENSOCUT00000022586
ENSOCUG00000008474	CD2	ENSOCUT00000008471
ENSOCUG00000008424	NAN	ENSOCUT00000008420
ENSOCUG00000010861	PEX11G	ENSOCUT00000010854
ENSOCUG00000005077	TOPORS	ENSOCUT00000005081,ENSOCUT00000005075
ENSOCUG00000022578	NAN	ENSOCUT00000026877
ENSOCUG00000008140	TTLL7	ENSOCUT00000008140
ENSOCUG00000023151	SLAMF1	ENSOCUT00000022363
ENSOCUG00000025202	NAN	ENSOCUT00000003091
ENSOCUG00000012887	PAGR1	ENSOCUT00000022636,ENSOCUT00000012882
ENSOCUG00000002765	LUC7L3	ENSOCUT00000024227
ENSOCUG00000026609	GLMP	ENSOCUT00000028678
ENSOCUG00000002733	CACNA1G	ENSOCUT00000030629
ENSOCUG00000003845	GRIK2	ENSOCUT00000033261,ENSOCUT00000003847
ENSOCUG00000017781	PIWIL3	ENSOCUT00000017788
ENSOCUG00000008074	MAT2B	ENSOCUT00000008073
ENSOCUG00000021904	RGS21	ENSOCUT00000029442
ENSOCUG00000002722	ANAPC5	ENSOCUT00000002721
ENSOCUG00000000103	MIXL1	ENSOCUT00000030195
ENSOCUG00000029661	HMGCLL1	ENSOCUT00000034169
ENSOCUG00000026838	NAN	ENSOCUT00000024903
ENSOCUG00000006979	HDHD2	ENSOCUT00000006979
ENSOCUG00000015812	PRPSAP2	ENSOCUT00000015810
ENSOCUG00000023570	NAN	ENSOCUT00000023555
ENSOCUG00000002663	GIGYF1	ENSOCUT00000002665
ENSOCUG00000007709	IFT22	ENSOCUT00000007709
ENSOCUG00000016925	BMPR1A	ENSOCUT00000016925
ENSOCUG00000012154	TFB1M	ENSOCUT00000012152
ENSOCUG00000025948	RPS6KA3	ENSOCUT00000024491
ENSOCUG00000021121	TAS2R40	ENSOCUT00000025359
ENSOCUG00000004309	NECAP1	ENSOCUT00000004307
ENSOCUG00000001798	ACAP2	ENSOCUT00000001799
ENSOCUG00000025477	MYF5	ENSOCUT00000023496
ENSOCUG00000015835	MYO1E	ENSOCUT00000021456,ENSOCUT00000015841
ENSOCUG00000015709	NAN	ENSOCUT00000015703
ENSOCUG00000022420	LIN28A	ENSOCUT00000023667
ENSOCUG00000004808	CBL	ENSOCUT00000004808
ENSOCUG00000012145	NAN	ENSOCUT00000012142
ENSOCUG00000011201	CYP4B1	ENSOCUT00000034095,ENSOCUT00000011201
ENSOCUG00000012305	ACAD8	ENSOCUT00000012307
ENSOCUG00000014303	NAN	ENSOCUT00000014301
ENSOCUG00000011123	CCDC155	ENSOCUT00000011128
ENSOCUG00000011080	GALNT7	ENSOCUT00000011078
