human,rhesus,rat,mouse
ENSG00000119280,ENSMMUG00000005886,ENSRNOG00000018836,ENSMUSG00000031983
ENSG00000123243,ENSMMUG00000015850,ENSRNOG00000049614,ENSMUSG00000025780
ENSG00000104312,ENSMMUG00000020725,ENSRNOG00000009389,ENSMUSG00000041135
ENSG00000171163,ENSMMUG00000000634,ENSRNOG00000002682,ENSMUSG00000037243
ENSG00000119508,ENSMMUG00000011410,ENSRNOG00000005964,ENSMUSG00000028341
ENSG00000138386,ENSMMUG00000022664,ENSRNOG00000012959,ENSMUSG00000002881
ENSG00000075426,ENSMMUG00000014464,ENSRNOG00000052357,ENSMUSG00000029135
ENSG00000149451,ENSMMUG00000022076,ENSRNOG00000021242,ENSMUSG00000027318
ENSG00000149289,ENSMMUG00000002240,ENSRNOG00000012470,ENSMUSG00000035164
ENSG00000138496,ENSMMUG00000016381,ENSRNOG00000023463,ENSMUSG00000022906
ENSG00000088756,ENSMMUG00000014506,ENSRNOG00000017065,ENSMUSG00000024043
ENSG00000187961,ENSMMUG00000015802,ENSRNOG00000020302,ENSMUSG00000078484
ENSG00000204256,ENSMMUG00000023138,ENSRNOG00000000461,ENSMUSG00000024335
ENSG00000183891,ENSMMUG00000001570,ENSRNOG00000049088,ENSMUSG00000066637
ENSG00000110888,ENSMMUG00000001359,ENSRNOG00000047319,ENSMUSG00000030309
ENSG00000184545,ENSMMUG00000023132,ENSRNOG00000029394,ENSMUSG00000037887
ENSG00000204138,ENSMMUG00000019216,ENSRNOG00000046922,ENSMUSG00000066043
ENSG00000128159,ENSMMUG00000030986,ENSRNOG00000006028,ENSMUSG00000051786
ENSG00000112773,ENSMMUG00000023610,ENSRNOG00000010240,ENSMUSG00000032265
ENSG00000134326,ENSMMUG00000015968,ENSRNOG00000007690,ENSMUSG00000020638
ENSG00000172613,ENSMMUG00000017275,ENSRNOG00000018729,ENSMUSG00000024824
ENSG00000198840,ENSMMUG00000028680,ENSRNOG00000033615,ENSMUSG00000064360
ENSG00000130775,ENSMMUG00000018170,ENSRNOG00000012965,ENSMUSG00000037731
ENSG00000155287,ENSMMUG00000023760,ENSRNOG00000016751,ENSMUSG00000040414
ENSG00000170581,ENSMMUG00000000803,ENSRNOG00000031081,ENSMUSG00000040033
ENSG00000167604,ENSMMUG00000019756,ENSRNOG00000025111,ENSMUSG00000036931
ENSG00000168137,ENSMMUG00000003943,ENSRNOG00000007472,ENSMUSG00000034269
ENSG00000198938,ENSMMUG00000028682,ENSRNOG00000030700,ENSMUSG00000064358
ENSG00000104957,ENSMMUG00000017642,ENSRNOG00000008319,ENSMUSG00000004994
ENSG00000165105,ENSMMUG00000005988,ENSRNOG00000024190,ENSMUSG00000043003
ENSG00000122484,ENSMMUG00000010096,ENSRNOG00000023484,ENSMUSG00000033773
ENSG00000168394,ENSMMUG00000029790,ENSRNOG00000000457,ENSMUSG00000037321
ENSG00000059378,ENSMMUG00000004224,ENSRNOG00000008196,ENSMUSG00000038507
ENSG00000119640,ENSMMUG00000003126,ENSRNOG00000006744,ENSMUSG00000008822
ENSG00000140853,ENSMMUG00000000769,ENSRNOG00000048222,ENSMUSG00000074151
ENSG00000162231,ENSMMUG00000000188,ENSRNOG00000019069,ENSMUSG00000010097
ENSG00000182324,ENSMMUG00000001792,ENSRNOG00000021056,ENSMUSG00000058743
ENSG00000103168,ENSMMUG00000008569,ENSRNOG00000015632,ENSMUSG00000031832
ENSG00000139190,ENSMMUG00000014262,ENSRNOG00000019219,ENSMUSG00000030337
ENSG00000135821,ENSMMUG00000022884,ENSRNOG00000049560,ENSMUSG00000026473
ENSG00000142102,ENSMMUG00000004625,ENSRNOG00000014783,ENSMUSG00000062031
ENSG00000010818,ENSMMUG00000007998,ENSRNOG00000011015,ENSMUSG00000015501
ENSG00000139287,ENSMMUG00000007730,ENSRNOG00000003880,ENSMUSG00000006764
ENSG00000140400,ENSMMUG00000009279,ENSRNOG00000030654,ENSMUSG00000032295
ENSG00000187764,ENSMMUG00000008629,ENSRNOG00000013679,ENSMUSG00000021451
ENSG00000132510,ENSMMUG00000008173,ENSRNOG00000037613,ENSMUSG00000018476
ENSG00000164877,ENSMMUG00000012540,ENSRNOG00000022533,ENSMUSG00000036718
ENSG00000135164,ENSMMUG00000010781,ENSRNOG00000005908,ENSMUSG00000042508
ENSG00000168062,ENSMMUG00000006568,ENSRNOG00000021018,ENSMUSG00000039699
ENSG00000204569,ENSMMUG00000006524,ENSRNOG00000059268,ENSMUSG00000039220
ENSG00000156232,ENSMMUG00000003498,ENSRNOG00000028113,ENSMUSG00000045795
ENSG00000112208,ENSMMUG00000018002,ENSRNOG00000012709,ENSMUSG00000042215
ENSG00000172602,ENSMMUG00000008433,ENSRNOG00000059857,ENSMUSG00000054855
ENSG00000134884,ENSMMUG00000022084,ENSRNOG00000024142,ENSMUSG00000040459
ENSG00000163121,ENSMMUG00000000006,ENSRNOG00000015366,ENSMUSG00000047180
ENSG00000104218,ENSMMUG00000014423,ENSRNOG00000021718,ENSMUSG00000056763
ENSG00000198727,ENSMMUG00000028670,ENSRNOG00000031766,ENSMUSG00000064370
ENSG00000163347,ENSMMUG00000001915,ENSRNOG00000001926,ENSMUSG00000022512
ENSG00000140548,ENSMMUG00000014831,ENSRNOG00000014278,ENSMUSG00000048897
ENSG00000105143,ENSMMUG00000001735,ENSRNOG00000007509,ENSMUSG00000005357
ENSG00000186166,ENSMMUG00000005982,ENSRNOG00000012137,ENSMUSG00000043923
ENSG00000161647,ENSMMUG00000013260,ENSRNOG00000033653,ENSMUSG00000052373
ENSG00000181092,ENSMMUG00000002684,ENSRNOG00000001821,ENSMUSG00000022878
ENSG00000196843,ENSMMUG00000030744,ENSRNOG00000015382,ENSMUSG00000037447
ENSG00000146067,ENSMMUG00000016910,ENSRNOG00000039807,ENSMUSG00000021495
ENSG00000146374,ENSMMUG00000015355,ENSRNOG00000011568,ENSMUSG00000019880
ENSG00000113504,ENSMMUG00000019441,ENSRNOG00000016372,ENSMUSG00000017756
ENSG00000162772,ENSMMUG00000012185,ENSRNOG00000003745,ENSMUSG00000026628
ENSG00000130066,ENSMMUG00000008335,ENSRNOG00000003809,ENSMUSG00000025283
ENSG00000144395,ENSMMUG00000005628,ENSRNOG00000013318,ENSMUSG00000025983
ENSG00000168310,ENSMMUG00000015087,ENSRNOG00000009824,ENSMUSG00000031627
ENSG00000042062,ENSMMUG00000007883,ENSRNOG00000010791,ENSMUSG00000074577
ENSG00000106404,ENSMMUG00000007836,ENSRNOG00000001419,ENSMUSG00000001739
ENSG00000129566,ENSMMUG00000016255,ENSRNOG00000051706,ENSMUSG00000006281
ENSG00000173193,ENSMMUG00000022569,ENSRNOG00000023334,ENSMUSG00000034422
ENSG00000124882,ENSMMUG00000002313,ENSRNOG00000002771,ENSMUSG00000029377
ENSG00000120370,ENSMMUG00000014674,ENSRNOG00000003861,ENSMUSG00000040124
ENSG00000172349,ENSMMUG00000011555,ENSRNOG00000011680,ENSMUSG00000001741
ENSG00000164949,ENSMMUG00000019759,ENSRNOG00000015160,ENSMUSG00000028214
ENSG00000139631,ENSMMUG00000015153,ENSRNOG00000011573,ENSMUSG00000023044
ENSG00000119720,ENSMMUG00000010442,ENSRNOG00000004004,ENSMUSG00000021179
ENSG00000173559,ENSMMUG00000009460,ENSRNOG00000015416,ENSMUSG00000026107
ENSG00000126653,ENSMMUG00000012121,ENSRNOG00000022502,ENSMUSG00000037958
ENSG00000006747,ENSMMUG00000000880,ENSRNOG00000004498,ENSMUSG00000002565
ENSG00000167874,ENSMMUG00000008176,ENSRNOG00000009870,ENSMUSG00000045377
ENSG00000120616,ENSMMUG00000012451,ENSRNOG00000014834,ENSMUSG00000024240
ENSG00000166889,ENSMMUG00000017287,ENSRNOG00000021052,ENSMUSG00000046139
ENSG00000131669,ENSMMUG00000014398,ENSRNOG00000016587,ENSMUSG00000037966
ENSG00000123610,ENSMMUG00000010927,ENSRNOG00000050792,ENSMUSG00000053475
ENSG00000108771,ENSMMUG00000014755,ENSRNOG00000018247,ENSMUSG00000017830
ENSG00000110455,ENSMMUG00000019694,ENSRNOG00000009199,ENSMUSG00000040272
ENSG00000198089,ENSMMUG00000002181,ENSRNOG00000018412,ENSMUSG00000023764
ENSG00000089048,ENSMMUG00000012352,ENSRNOG00000004777,ENSMUSG00000045624
ENSG00000104951,ENSMMUG00000011627,ENSRNOG00000020148,ENSMUSG00000074141
ENSG00000213398,ENSMMUG00000012760,ENSRNOG00000019573,ENSMUSG00000035237
ENSG00000130827,ENSMMUG00000005507,ENSRNOG00000060464,ENSMUSG00000031398
ENSG00000159110,ENSMMUG00000003956,ENSRNOG00000045668,ENSMUSG00000022971
ENSG00000146006,ENSMMUG00000017990,ENSRNOG00000047085,ENSMUSG00000071862
ENSG00000125351,ENSMMUG00000020222,ENSRNOG00000039994,ENSMUSG00000036572
ENSG00000107201,ENSMMUG00000012442,ENSRNOG00000006384,ENSMUSG00000040296
ENSG00000135625,ENSMMUG00000000626,ENSRNOG00000015719,ENSMUSG00000071341
ENSG00000139289,ENSMMUG00000015581,ENSRNOG00000004019,ENSMUSG00000020205
ENSG00000231925,ENSMMUG00000003875,ENSRNOG00000029500,ENSMUSG00000024308
ENSG00000151338,ENSMMUG00000009651,ENSRNOG00000009151,ENSMUSG00000047022
ENSG00000165030,ENSMMUG00000023257,ENSRNOG00000011668,ENSMUSG00000056749
ENSG00000162241,ENSMMUG00000023297,ENSRNOG00000030616,ENSMUSG00000024818
ENSG00000240230,ENSMMUG00000007202,ENSRNOG00000050052,ENSMUSG00000045438
ENSG00000109920,ENSMMUG00000016937,ENSRNOG00000007241,ENSMUSG00000008200
ENSG00000166004,ENSMMUG00000008025,ENSRNOG00000010999,ENSMUSG00000046111
ENSG00000198026,ENSMMUG00000013702,ENSRNOG00000017290,ENSMUSG00000039834
ENSG00000178338,ENSMMUG00000008976,ENSRNOG00000029678,ENSMUSG00000020335
ENSG00000134186,ENSMMUG00000010155,ENSRNOG00000020438,ENSMUSG00000027881
ENSG00000163792,ENSMMUG00000015867,ENSRNOG00000025736,ENSMUSG00000006642
ENSG00000234545,ENSMMUG00000019802,ENSRNOG00000009163,ENSMUSG00000058503
ENSG00000105963,ENSMMUG00000017064,ENSRNOG00000054033,ENSMUSG00000056413
ENSG00000116717,ENSMMUG00000014808,ENSRNOG00000005615,ENSMUSG00000036390
ENSG00000121060,ENSMMUG00000005790,ENSRNOG00000002341,ENSMUSG00000000275
ENSG00000110330,ENSMMUG00000003400,ENSRNOG00000010602,ENSMUSG00000057367
ENSG00000061936,ENSMMUG00000020343,ENSRNOG00000000931,ENSMUSG00000029439
ENSG00000124201,ENSMMUG00000023623,ENSRNOG00000008194,ENSMUSG00000039501
ENSG00000184384,ENSMMUG00000014806,ENSRNOG00000005879,ENSMUSG00000031925
ENSG00000067191,ENSMMUG00000000289,ENSRNOG00000004518,ENSMUSG00000020882
ENSG00000150477,ENSMMUG00000006864,ENSRNOG00000029466,ENSMUSG00000033632
ENSG00000231852,ENSMMUG00000000755,ENSRNOG00000000428,ENSMUSG00000024365
ENSG00000240065,ENSMMUG00000011304,ENSRNOG00000000459,ENSMUSG00000096727
ENSG00000137266,ENSMMUG00000001371,ENSRNOG00000017210,ENSMUSG00000038267
ENSG00000137817,ENSMMUG00000023455,ENSRNOG00000011199,ENSMUSG00000025237
ENSG00000145936,ENSMMUG00000022581,ENSRNOG00000005465,ENSMUSG00000020155
ENSG00000161010,ENSMMUG00000021056,ENSRNOG00000003068,ENSMUSG00000020381
ENSG00000007545,ENSMMUG00000000978,ENSRNOG00000024635,ENSMUSG00000038002
ENSG00000126561,ENSMMUG00000010705,ENSRNOG00000019496,ENSMUSG00000004043
ENSG00000122691,ENSMMUG00000011173,ENSRNOG00000011101,ENSMUSG00000035799
ENSG00000160326,ENSMMUG00000010981,ENSRNOG00000005900,ENSMUSG00000036067
ENSG00000185189,ENSMMUG00000028891,ENSRNOG00000029535,ENSMUSG00000075590
ENSG00000139318,ENSMMUG00000006227,ENSRNOG00000023896,ENSMUSG00000019960
ENSG00000133858,ENSMMUG00000020943,ENSRNOG00000053060,ENSMUSG00000034163
ENSG00000116809,ENSMMUG00000008031,ENSRNOG00000010436,ENSMUSG00000006215
ENSG00000110047,ENSMMUG00000003972,ENSRNOG00000043503,ENSMUSG00000024772
ENSG00000122641,ENSMMUG00000014246,ENSRNOG00000014320,ENSMUSG00000041324
ENSG00000139192,ENSMMUG00000014266,ENSRNOG00000027552,ENSMUSG00000038213
ENSG00000141448,ENSMMUG00000010944,ENSRNOG00000023433,ENSMUSG00000005836
ENSG00000141258,ENSMMUG00000022002,ENSRNOG00000027194,ENSMUSG00000038351
ENSG00000116731,ENSMMUG00000017040,ENSRNOG00000033522,ENSMUSG00000057637
ENSG00000158286,ENSMMUG00000018348,ENSRNOG00000033722,ENSMUSG00000058498
ENSG00000131979,ENSMMUG00000004084,ENSRNOG00000011039,ENSMUSG00000037580
ENSG00000204839,ENSMMUG00000001639,ENSRNOG00000032231,ENSMUSG00000098678
ENSG00000197140,ENSMMUG00000029007,ENSRNOG00000025728,ENSMUSG00000037437
ENSG00000124003,ENSMMUG00000015649,ENSRNOG00000014692,ENSMUSG00000012187
ENSG00000113916,ENSMMUG00000009198,ENSRNOG00000001843,ENSMUSG00000022508
ENSG00000146278,ENSMMUG00000014940,ENSRNOG00000007793,ENSMUSG00000040128
ENSG00000198707,ENSMMUG00000015862,ENSRNOG00000056458,ENSMUSG00000019971
ENSG00000120738,ENSMMUG00000018025,ENSRNOG00000019422,ENSMUSG00000038418
ENSG00000272333,ENSMMUG00000002381,ENSRNOG00000055525,ENSMUSG00000006307
ENSG00000126778,ENSMMUG00000018507,ENSRNOG00000022777,ENSMUSG00000051367
ENSG00000155090,ENSMMUG00000018815,ENSRNOG00000006118,ENSMUSG00000037465
ENSG00000134138,ENSMMUG00000006840,ENSRNOG00000004730,ENSMUSG00000027210
